nome_do_nomeado,secretaria,tipo_de_secretaria,data_nomeacao,ministro_nomeacao,partido_ministro,sexo,governo_nom,partido_nom,part_presidente_camara_momento_nomeacao,filiacao_partidaria,partido,uf_partido,circulacao_organizacional_externa_patronal_sindical_ou_organismo,organizacao,permanencia_cargo,autonomia,nivel_escolaridade,graduacao_curso,graduacao_sociais_aplicadas_agrarias_outras,emprego_cargo_instituicao_trajet_pre_resumido2,emprego_cargo_instituicao_trajet_pos_resumido2
José Gerardo Fontelles,Secretaria Executiva,planejamento_estrategico,15/5/2009,Reinhold Stephanes,PMDB,M,Lula2,PT,PMDB,nao,sem_partido,,nao,,21.56,sim,graduacao_ou_especializacao,Agronomia,agrarias,Burocrata_insider,Burocrata_insider
Murilo Xavier Flores,Secretaria de Desenvolvimento Rural / Agropecuário e cooperativismo / Apoio Rural e Cooperativismo,execucao_de_pol_pub,11/5/1995,José Eduardo de Andrade Vieira,PTB,M,FHC1,PSDB,PFL_DEM,nao,sem_partido,,nao,,47.9,sim,mestrado_ou_doutorado,Agronomia,agrarias,Burocrata_insider,Burocrata_outsider
Luiz Gomes de Souza,Secretaria Executiva,planejamento_estrategico,6/7/2006,Luis Carlos Guedes Pinto,sem_partido,M,Lula1,PT,PCdoB,nao,sem_partido,,nao,,10.56,nao,mestrado_ou_doutorado,Agronomia,agrarias,Burocrata_insider,Burocrata_outsider
Caio Tibério Dornelles da Rocha,Secretaria de Desenvolvimento Rural / Agropecuário e cooperativismo / Apoio Rural e Cooperativismo,execucao_de_pol_pub,3/1/2013,Mendes Ribeiro Filho,PMDB,M,Dilma1,PT,PT,nao,sem_partido,,nao,,39.1,sim,graduacao_ou_especializacao,Agronomia,agrarias,Burocrata_outsider,Burocrata_outsider
Caio Tibério Dornelles da Rocha ,Secretaria de Política Agrícola,planejamento_estrategico,23/9/2011,Mendes Ribeiro Filho,PMDB,M,Dilma1,PT,PT,nao,sem_partido,,nao,,12.63,nao,graduacao_ou_especializacao,Agronomia,agrarias,Burocrata_outsider,Burocrata_outsider
Inácio Afonso Kroetz,Secretaria da Defesa Agropecuária,execucao_de_pol_pub,23/4/2007,Reinhold Stephanes,PMDB,M,Lula2,PT,PT,nao,sem_partido,,nao,,36.96,nao,mestrado_ou_doutorado,Veterinaria,agrarias,Burocrata_outsider,Burocrata_outsider
Luis Carlos Guedes Pinto,Secretaria Executiva,planejamento_estrategico,13/12/2004,Roberto Rodrigues,sem_partido,M,Lula1,PT,PT,nao,sem_partido,,nao,,18.74,nao,mestrado_ou_doutorado,Agronomia,agrarias,Academia,Mercado
Marcio Antonio Portocarrero,Secretaria de Desenvolvimento Rural / Agropecuário e cooperativismo / Apoio Rural e Cooperativismo,execucao_de_pol_pub,jul/05,Roberto Rodrigues,sem_partido,M,Lula1,PT,PPB_PP,sim,PT,MS,nao,,67,sim,graduacao_ou_especializacao,Agronomia,agrarias,Burocrata_outsider,Mercado
Maçao Tadano,Secretaria da Defesa Agropecuária,execucao_de_pol_pub,9/1/2003,Roberto Rodrigues,sem_partido,M,Lula1,PT,PFL_DEM,sim,PL_PR,MT,nao,,23.93,nao,graduacao_ou_especializacao,Agronomia,agrarias,Burocrata_outsider,Mercado
José Gerardo Fontelles,Secretaria Executiva,planejamento_estrategico,5/4/2013,Antônio Andrade ,PMDB,M,Dilma1,PT,PMDB,nao,sem_partido,,nao,,21.4,nao,graduacao_ou_especializacao,Agronomia,agrarias,Burocrata_insider,Burocrata_outsider
