UF,Municipio,órgão_Concedente,Ano_de_Vigencia,Nome_Ministro,Partido_Ministro,Partido_Governador,Transferencia_percapita,Vl_Liberado
PE,RECIFE,MINISTERIO DA SAUDE,2014,Arthur Chioro,PT,PSB,0.0178545294553289,165649.45
SP,SAO PAULO,MINISTERIO DA JUSTICA,2016,José Eduardo Cardozo,PT,PSDB,0.00373295326720017,165730
AC,RIO BRANCO,MINISTERIO DA SAUDE,2013,Alexandre Padilha,PT,PT,0.213499033437524,165774.1
AM,MANAUS,MINISTERIO DOS DIREITOS HUMANOS,2009,Paulo Vannuchi,PT,PMDB,0.0491760548292862,166872.5
SE,ARACAJU,MINISTERIO DO DESENVOLVIMENTO AGRARIO,2011,Afonso Florense,PT,PT,0.0799126033659954,167000
PE,RECIFE,MINISTERIO DA SAUDE,2014,Arthur Chioro,PT,PSB,0.0180000985155092,167000
AP,MACAPA,MINISTERIO DA DEFESA,2011,Celso Amorim,PT,PSB,0.244044652864748,167000
AC,RIO BRANCO,PRESIDENCIA DA REPÚBLICA,2011,Gilberto Carvalho,PT,PT,0.223748115893485,167000
RO,PORTO VELHO,MINISTERIO DA JUSTICA,2011,José Eduardo Cardozo,PT,PMDB,0.106109172474647,167272.94
SE,ARACAJU,MINISTERIO DO DESENVOLVIMENTO AGRARIO,2011,Afonso Florense,PT,PT,0.0800561589409044,167300
PE,RECIFE,PRESIDENCIA DA REPÚBLICA,2011,Gilberto Carvalho,PT,PSB,0.0188821251865383,167386.32
RS,PORTO ALEGRE,MINISTERIO DA EDUCACAO,2011,Fernando Haddad,PT,PT,0.0156440285219939,167903.76
BA,SALVADOR,MINISTERIO DA SAUDE,2011,Alexandre Padilha,PT,PT,0.0119103379341326,167904
AM,MANAUS,MINISTERIO DO DESENVOLVIMENTO AGRARIO,2009,Guilherme Cassel ,PT,PMDB,0.0495083204921127,168000
AP,MACAPA,MINISTERIO DA JUSTICA,2011,José Eduardo Cardozo,PT,PSB,0.245920815547544,168283.86
SC,FLORIANOPOLIS,SEC.ESPEC.DE AGRIC.FAMIL.E DO DESENV.AGRARIO,2009,Guilherme Cassel ,PT,PMDB,0.0275170897029014,168370
PR,CASCAVEL,MINISTERIO DA EDUCACAO,2008,Fernando Haddad,PT,PMDB,0.015899651837473,168380
PI,TERESINA,MINISTERIO DO TURISMO,2009,Luiz Barretto Filho,PT,PT,0.0536669501561842,168800
AC,RIO BRANCO,MINISTERIO DOS DIREITOS HUMANOS,2012,Maria do Rosário,PT,PT,0.223371279912913,169491
PE,RECIFE,MINISTERIO DOS DIREITOS HUMANOS,2009,Paulo Vannuchi,PT,PSB,0.0192465315423298,169566.87
SP,SAO PAULO,MINISTERIO DA EDUCACAO,2011,Fernando Haddad,PT,PSDB,0.00408171882621091,169746
MA,SAO LUIS,SEC.ESPEC.DE AGRIC.FAMIL.E DO DESENV.AGRARIO,2010,Guilherme Cassel ,PT,PDT,0.0258623589600899,169907.5
AP,MACAPA,MINISTERIO DA EDUCACAO,2012,Aloizio Mercadante,PT,PSB,0.243343133858764,170000
AP,MACAPA,MINISTERIO DA SAUDE,2014,Arthur Chioro,PT,PSB,0.226391374754965,170000
AP,MACAPA,MINISTERIO DOS DIREITOS HUMANOS,2013,Maria do Rosário,PT,PSB,0.231293775748439,170000
PA,BELEM,MINISTERIO DOS DIREITOS HUMANOS,2009,Paulo Vannuchi,PT,PT,0.0228770747488232,170000
PE,RECIFE,MINISTERIO DA EDUCACAO,2013,Aloizio Mercadante,PT,PSB,0.0184611138561446,170000.09
MA,SAO LUIS,MINISTERIO DA JUSTICA,2012,José Eduardo Cardozo,PT,PMDB,0.025319947801071,170006.08
RN,NATAL,SEC.ESPEC.DE AGRIC.FAMIL.E DO DESENV.AGRARIO,2009,Guilherme Cassel ,PT,PSB,0.0542144309827346,170100
PB,JOAO PESSOA,MINISTERIO DA SAUDE,2014,Arthur Chioro,PT,PSB,0.0431731655461556,170270
DF,BRASILIA,MINISTERIO DOS DIREITOS HUMANOS,2013,Maria do Rosário,PT,PT,0.0610573235485047,170335.34
PB,CAMPINA GRANDE,MINISTERIO DA EDUCACAO,2013,Aloizio Mercadante,PT,PSB,0.0436918001410681,171028.1
ES,VITORIA,MINISTERIO DO DESENVOLVIMENTO SOCIAL,2015,Tereza Campello,PT,PMDB,0.0436080231842401,171375.65
PE,RECIFE,PRESIDENCIA DA REPÚBLICA,2013,Gilberto Carvalho,PT,PSB,0.0186115436197881,171385.33
PE,RECIFE,MINISTERIO DA EDUCACAO,2014,José Henrique Paim,PT,PSB,0.0184877125614927,171523.95
PB,JOAO PESSOA,PRESIDENCIA DA REPÚBLICA,2011,Gilberto Carvalho,PT,PSB,0.0452471512977421,171541
MS,CAMPO GRANDE,MINISTERIO DA EDUCACAO,2009,Fernando Haddad,PT,PMDB,0.0727261535489545,171669.94
PE,RECIFE,MINISTERIO DOS DIREITOS HUMANOS,2012,Maria do Rosário,PT,PSB,0.0192463846267193,171890
CE,FORTALEZA,SEC.ESPEC.DE AGRIC.FAMIL.E DO DESENV.AGRARIO,2008,Guilherme Cassel ,PT,PSB,0.0204240516597367,172594
BA,SALVADOR,MINISTERIO DOS DIREITOS HUMANOS,2012,Maria do Rosário,PT,PT,0.0122059229474621,173023.12
CE,FORTALEZA,MINISTERIO DA JUSTICA,2009,Tarso Genro,PT,PSB,0.0202448884854587,173049.44
PI,TERESINA,MINISTERIO DO TURISMO,2009,Luiz Barretto Filho,PT,PT,0.0551771279597498,173550
PB,JOAO PESSOA,MINISTERIO DA JUSTICA,2012,José Eduardo Cardozo,PT,PSB,0.0455287587371575,173700
PI,TERESINA,MINISTERIO DO TURISMO,2009,Luiz Barretto Filho,PT,PT,0.0552933417055471,173915.53
AL,MACEIO,SEC.ESPEC.DE AGRIC.FAMIL.E DO DESENV.AGRARIO,2015,Patrus Ananias,PT,PMDB,0.0520633164637891,173940
PI,TERESINA,MINISTERIO DO TURISMO,2008,Luiz Barretto Filho,PT,PT,0.0557682364665543,173980
PB,JOAO PESSOA,MINISTERIO DOS DIREITOS HUMANOS,2012,Maria do Rosário,PT,PSB,0.0456073921719367,174000
AL,MACEIO,MINISTERIO DA EDUCACAO,2015,Aloizio Mercadante,PT,PMDB,0.0521021768775898,174069.83
CE,FORTALEZA,MINISTERIO DOS DIREITOS HUMANOS,2013,Maria do Rosário,PT,PSB,0.0198785509175976,174505.37
PE,RECIFE,MINISTERIO DA JUSTICA,2012,José Eduardo Cardozo,PT,PSB,0.01956077172751,174697.8
