UF,Municipio,órgão_Concedente,Ano_de_Vigencia,Nome_Ministro,Partido_Ministro,Partido_Governador,Transferencia_percapita,Vl_Liberado
MS,CAMPO GRANDE,MINISTERIO DO ESPORTE,2013,Aldo Rebelo,PCdoB,PMDB,0.000115337833058719,298.41
PI,TERESINA,MINISTERIO DO ESPORTE,2010,Orlando Silva,PCdoB,PT,0.00240325872110266,7495.8
SP,SAO PAULO,MINISTERIO DO ESPORTE,2013,Aldo Rebelo,PCdoB,PSDB,0.000372523435902741,16265.74
SP,SAO PAULO,MINISTERIO DO ESPORTE,2013,Aldo Rebelo,PCdoB,PSDB,0.000376203154160041,16426.41
BA,SALVADOR,MINISTERIO DO ESPORTE,2010,Orlando Silva,PCdoB,PT,0.00206875446102795,29006.9
PI,TERESINA,MINISTERIO DO ESPORTE,2010,Orlando Silva,PCdoB,PT,0.00946298751368621,29515.2
BA,FEIRA DE SANTANA,MINISTERIO DO ESPORTE,2009,Orlando Silva,PCdoB,PT,0.00239114091854244,35000
MT,CUIABA,MINISTERIO DO ESPORTE,2014,Aldo Rebelo,PCdoB,PMDB,0.0151192935521718,48750
BA,SALVADOR,MINISTERIO DO ESPORTE,2009,Orlando Silva,PCdoB,PT,0.00399662124956379,58500
BA,SALVADOR,MINISTERIO DO ESPORTE,2011,Aldo Rebelo,PCdoB,PT,0.00516996938357064,72882.78
PR,MARINGA,MINISTERIO DO ESPORTE,2010,Orlando Silva,PCdoB,PMDB,0.00699260441083907,73000
BA,SALVADOR,MINISTERIO DO ESPORTE,2011,Aldo Rebelo,PCdoB,PT,0.00518247174837964,73059.03
BA,SALVADOR,MINISTERIO DO ESPORTE,2009,Orlando Silva,PCdoB,PT,0.00599493187434568,87750
PR,LONDRINA,MINISTERIO DO ESPORTE,2010,Orlando Silva,PCdoB,PMDB,0.00947511308142907,98916.4
PI,TERESINA,MINISTERIO DO ESPORTE,2008,Orlando Silva,PCdoB,PT,0.0319377170282883,99636
PE,RECIFE,MINISTERIO DO ESPORTE,2009,Orlando Silva,PCdoB,PSB,0.0117760482782793,103750
PR,MARINGA,MINISTERIO DO ESPORTE,2009,Orlando Silva,PCdoB,PMDB,0.0101730757299546,108712
RR,BOA VISTA,MINISTERIO DA DEFESA,2015,Aldo Rebelo,PCdoB,PP,0.217263188079064,109862.39
PE,RECIFE,MINISTERIO DO ESPORTE,2009,Orlando Silva,PCdoB,PSB,0.0126440196516424,111397.05
BA,SALVADOR,MINISTERIO DO ESPORTE,2011,Aldo Rebelo,PCdoB,PT,0.00821391961160313,115794.36
BA,SALVADOR,MINISTERIO DO ESPORTE,2011,Aldo Rebelo,PCdoB,PT,0.0083121076873193,117178.55
BA,VITORIA DA CONQUISTA,MINISTERIO DO ESPORTE,2008,Orlando Silva,PCdoB,PT,0.00826994516491037,119935.5
MS,CAMPO GRANDE,MINISTERIO DO ESPORTE,2012,Aldo Rebelo,PCdoB,PMDB,0.0486509855142813,121875
PE,RECIFE,MINISTERIO DO ESPORTE,2009,Orlando Silva,PCdoB,PSB,0.0143838181319589,126725.12
RR,BOA VISTA,MINISTERIO DA DEFESA,2015,Aldo Rebelo,PCdoB,PP,0.253340353791542,128105.35
BA,SALVADOR,MINISTERIO DO ESPORTE,2011,Aldo Rebelo,PCdoB,PT,0.00944930931261963,133210.06
MT,CUIABA,MINISTERIO DO ESPORTE,2014,Aldo Rebelo,PCdoB,PMDB,0.0453578806565154,146250
BA,SALVADOR,MINISTERIO DO ESPORTE,2013,Aldo Rebelo,PCdoB,PT,0.00972139511890912,146250
AC,RIO BRANCO,MINISTERIO DO ESPORTE,2010,Orlando Silva,PCdoB,PT,0.199578871523063,146250
RR,BOA VISTA,MINISTERIO DA DEFESA,2015,Aldo Rebelo,PCdoB,PP,0.289417519504019,146348.31
PE,RECIFE,MINISTERIO DO ESPORTE,2013,Aldo Rebelo,PCdoB,PSB,0.016134053678375,148571.24
DF,BRASILIA,MINISTERIO DO ESPORTE,2013,Aldo Rebelo,PCdoB,PT,0.060839828214675,169728.58
PE,RECIFE,MINISTERIO DO ESPORTE,2010,Orlando Silva,PCdoB,PSB,0.0193057505929947,169814
PI,TERESINA,MINISTERIO DO ESPORTE,2011,Aldo Rebelo,PCdoB,PSB,0.0543354861596968,170625
CE,FORTALEZA,MINISTERIO DO ESPORTE,2011,Aldo Rebelo,PCdoB,PSB,0.0222251091375932,189581.47
MT,CUIABA,MINISTERIO DO ESPORTE,2014,Aldo Rebelo,PCdoB,PMDB,0.0604771742086872,195000
PB,JOAO PESSOA,MINISTERIO DO ESPORTE,2011,Aldo Rebelo,PCdoB,PSB,0.0514349018780333,195000
PB,JOAO PESSOA,MINISTERIO DO ESPORTE,2011,Aldo Rebelo,PCdoB,PSB,0.0514349018780333,195000
PE,RECIFE,MINISTERIO DO ESPORTE,2011,Aldo Rebelo,PCdoB,PSB,0.0222227160603569,197000
PE,RECIFE,MINISTERIO DO ESPORTE,2011,Aldo Rebelo,PCdoB,PSB,0.0222227160603569,197000
PE,RECIFE,MINISTERIO DO ESPORTE,2009,Orlando Silva,PCdoB,PSB,0.0224170557586522,197500
BA,SALVADOR,MINISTERIO DO ESPORTE,2014,Aldo Rebelo,PCdoB,PT,0.0134655060357835,203684.24
PI,TERESINA,MINISTERIO DO ESPORTE,2013,Aldo Rebelo,PCdoB,PSB,0.0688955914986844,219375
SC,CHAPECO,MINISTERIO DO ESPORTE,2009,Orlando Silva,PCdoB,PMDB,0.0380121015051621,232586.28
AC,RIO BRANCO,MINISTERIO DO ESPORTE,2011,Aldo Rebelo,PCdoB,PT,0.313515324066321,234000
BA,SALVADOR,MINISTERIO DO ESPORTE,2009,Orlando Silva,PCdoB,PT,0.0162937807654438,238498
BA,SALVADOR,MINISTERIO DO ESPORTE,2011,Aldo Rebelo,PCdoB,PT,0.0172905045230896,243750
PI,TERESINA,MINISTERIO DO ESPORTE,2012,Aldo Rebelo,PCdoB,PSB,0.0771178214777009,243750
PI,TERESINA,MINISTERIO DO ESPORTE,2012,Aldo Rebelo,PCdoB,PSB,0.0771178214777009,243750
PI,TERESINA,MINISTERIO DO ESPORTE,2012,Aldo Rebelo,PCdoB,PSB,0.0771178214777009,243750
PI,TERESINA,MINISTERIO DO ESPORTE,2012,Aldo Rebelo,PCdoB,PSB,0.083609199467974,264267.61
PI,TERESINA,MINISTERIO DO ESPORTE,2012,Aldo Rebelo,PCdoB,PSB,0.091882880254927,290418.63
PI,TERESINA,MINISTERIO DO ESPORTE,2012,Aldo Rebelo,PCdoB,PSB,0.0940415306756502,297241.58
AC,RIO BRANCO,MINISTERIO DO ESPORTE,2014,Aldo Rebelo,PCdoB,PT,0.387503205286413,306166.67
PA,BELEM,MINISTERIO DO ESPORTE,2010,Orlando Silva,PCdoB,PT,0.0428303451809536,325000
PE,RECIFE,MINISTERIO DO ESPORTE,2010,Orlando Silva,PCdoB,PSB,0.0370394286878447,325800
BA,SALVADOR,MINISTERIO DO ESPORTE,2013,Aldo Rebelo,PCdoB,PT,0.0217697951035676,327507.78
AP,MACAPA,MINISTERIO DO ESPORTE,2011,Aldo Rebelo,PCdoB,PSB,0.481892193639933,329759.31
BA,SALVADOR,MINISTERIO DO ESPORTE,2012,Aldo Rebelo,PCdoB,PT,0.0237001727154218,335958.03
GO,ANAPOLIS,MINISTERIO DO ESPORTE,2010,Orlando Silva,PCdoB,PP,0.0563378705522693,338255.11
MT,CUIABA,MINISTERIO DO ESPORTE,2011,Aldo Rebelo,PCdoB,PMDB,0.110944509214002,341250
PI,TERESINA,MINISTERIO DO ESPORTE,2012,Aldo Rebelo,PCdoB,PSB,0.107964950068781,341250
PI,TERESINA,MINISTERIO DO ESPORTE,2012,Aldo Rebelo,PCdoB,PSB,0.107964950068781,341250
MT,CUIABA,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA, INOVAÇÕES E COMUNICAÇÕES",2015,Aldo Rebelo,PCdoB,PDT,0.108712761285763,355000
BA,SALVADOR,MINISTERIO DO ESPORTE,2012,Aldo Rebelo,PCdoB,PT,0.0250732211662492,355421.46
PI,TERESINA,MINISTERIO DO ESPORTE,2011,Aldo Rebelo,PCdoB,PSB,0.113582760150346,356674.06
CE,FORTALEZA,MINISTERIO DO ESPORTE,2010,Orlando Silva,PCdoB,PSB,0.0429720213705995,363030
PI,TERESINA,MINISTERIO DO ESPORTE,2012,Aldo Rebelo,PCdoB,PSB,0.123388514364321,390000
PE,RECIFE,MINISTERIO DO ESPORTE,2013,Aldo Rebelo,PCdoB,PSB,0.0431726862535361,397557.84
MA,SAO LUIS,MINISTERIO DO ESPORTE,2008,Orlando Silva,PCdoB,PDT,0.06700989717136,422533.52
RN,NATAL,MINISTERIO DO ESPORTE,2009,Orlando Silva,PCdoB,PSB,0.135944693631095,426532.05
AC,RIO BRANCO,MINISTERIO DO ESPORTE,2012,Aldo Rebelo,PCdoB,PT,0.56416524553695,428080.69
AM,MANAUS,MINISTERIO DO ESPORTE,2009,Orlando Silva,PCdoB,PMDB,0.12639024815751,428888.75
RR,BOA VISTA,MINISTERIO DA DEFESA,2015,Aldo Rebelo,PCdoB,PP,0.922086045108916,466266.64
BA,SALVADOR,MINISTERIO DO ESPORTE,2012,Aldo Rebelo,PCdoB,PT,0.0330150787906972,468000
MS,CAMPO GRANDE,MINISTERIO DO ESPORTE,2008,Orlando Silva,PCdoB,PMDB,0.207100166177381,483798
PE,RECIFE,MINISTERIO DO ESPORTE,2011,Aldo Rebelo,PCdoB,PSB,0.0549062928978794,486733.47
PI,TERESINA,MINISTERIO DO ESPORTE,2012,Aldo Rebelo,PCdoB,PSB,0.154235642955402,487500
BA,ILHEUS,MINISTERIO DO ESPORTE,2009,Orlando Silva,PCdoB,PT,0.0333051770796982,487500
TO,PALMAS,MINISTERIO DO ESPORTE,2008,Orlando Silva,PCdoB,PMDB,0.381098453817974,488000
MS,CAMPO GRANDE,MINISTERIO DO ESPORTE,2013,Aldo Rebelo,PCdoB,PMDB,0.19325396779384,500000
AP,MACAPA,MINISTERIO DO ESPORTE,2011,Aldo Rebelo,PCdoB,PSB,0.730672613367509,500000
RS,PORTO ALEGRE,MINISTERIO DO ESPORTE,2012,Aldo Rebelo,PCdoB,PT,0.0464226561874019,500000
CE,FORTALEZA,MINISTERIO DO ESPORTE,2009,Orlando Silva,PCdoB,PSB,0.0596314318675113,509718.09
RO,PORTO VELHO,MINISTERIO DA DEFESA,2015,Aldo Rebelo,PCdoB,PMDB,0.288428258277891,510000
PE,RECIFE,MINISTERIO DO ESPORTE,2013,Aldo Rebelo,PCdoB,PSB,0.0576900152575596,531241.39
GO,GOIANIA,MINISTERIO DO ESPORTE,2009,Orlando Silva,PCdoB,PP,0.0903219816749068,535275.16
BA,SALVADOR,MINISTERIO DO ESPORTE,2012,Aldo Rebelo,PCdoB,PT,0.03851759192248,546000
PI,TERESINA,MINISTERIO DO ESPORTE,2011,Aldo Rebelo,PCdoB,PSB,0.190027434444734,596726.62
BA,SALVADOR,MINISTERIO DO ESPORTE,2013,Aldo Rebelo,PCdoB,PT,0.0396737945154315,596858
AP,MACAPA,MINISTERIO DO ESPORTE,2009,Orlando Silva,PCdoB,PDT,0.970502322820132,608125.49
BA,SALVADOR,MINISTERIO DO ESPORTE,2009,Orlando Silva,PCdoB,PT,0.0426084232106273,623675
BA,SALVADOR,MINISTERIO DO ESPORTE,2013,Aldo Rebelo,PCdoB,PT,0.0433348891996929,651936.01
RO,PORTO VELHO,MINISTERIO DA DEFESA,2015,Aldo Rebelo,PCdoB,PMDB,0.383270256146915,677700
PE,RECIFE,MINISTERIO DO ESPORTE,2010,Orlando Silva,PCdoB,PSB,0.0775547792459145,682174.32
CE,FORTALEZA,MINISTERIO DO ESPORTE,2010,Orlando Silva,PCdoB,PSB,0.0818117306291211,691150
MT,CUIABA,MINISTERIO DO ESPORTE,2014,Aldo Rebelo,PCdoB,PMDB,0.215373173628106,694440
RJ,RIO DE JANEIRO,MINISTERIO DO ESPORTE,2011,Aldo Rebelo,PCdoB,PMDB,0.0446691004085799,719737
RO,PORTO VELHO,MINISTERIO DA DEFESA,2015,Aldo Rebelo,PCdoB,PMDB,0.416976774173116,737300
SE,ARACAJU,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA, INOVAÇÕES E COMUNICAÇÕES",2015,Aldo Rebelo,PCdoB,PMDB,0.362270540813228,812550
CE,FORTALEZA,MINISTERIO DO ESPORTE,2009,Orlando Silva,PCdoB,PSB,0.101546723844672,868002
DF,BRASILIA,MINISTERIO DO ESPORTE,2014,Aldo Rebelo,PCdoB,PT,0.320825488400531,915113.64
AM,MANAUS,MINISTERIO DO ESPORTE,2010,Orlando Silva,PCdoB,PMDB,0.267190196202919,930072.24
BA,SALVADOR,MINISTERIO DO TRABALHO E EMPREGO,2011,Paulo Roberto dos Santos Pinto,PDT,PT,0.00180902302584468,25502.4
DF,BRASILIA,MINISTERIO DO TRABALHO E EMPREGO,2012,Brizola Neto,PDT,PT,0.0098167588686865,26000
AC,RIO BRANCO,MINISTERIO DO TRABALHO E EMPREGO,2008,Carlos Lupi,PDT,PT,0.0901667909180338,61320
PI,TERESINA,MINISTERIO DO TRABALHO E EMPREGO,2012,Brizola Neto,PDT,PSB,0.0202483715879912,64000
AP,MACAPA,MINISTERIO DO TRABALHO E EMPREGO,2011,Paulo Roberto dos Santos Pinto,PDT,PSB,0.111803431530861,76507.2
TO,PALMAS,MINISTERIO DO TRABALHO E PREVIDENCIA SOCIAL,2009,Carlos Lupi,PDT,PMDB,0.0928744298793159,119998.5
BA,ILHEUS,MINISTERIO DO TRABALHO E PREVIDENCIA SOCIAL,2010,Carlos Lupi,PDT,PT,0.0097340271664121,136485
AC,RIO BRANCO,MINISTERIO DO TRABALHO E EMPREGO,2012,Brizola Neto,PDT,PT,0.188173687969994,142783.56
PI,TERESINA,MINISTERIO DO TRABALHO E EMPREGO,2008,Carlos Lupi,PDT,PT,0.0534635254641717,166790
AC,RIO BRANCO,MINISTERIO DO TRABALHO E EMPREGO,2012,Brizola Neto,PDT,PT,0.220088404372247,167000
TO,PALMAS,MINISTERIO DO TRABALHO E EMPREGO,2008,Carlos Lupi,PDT,PMDB,0.133259508523564,170640
PR,MARINGA,MINISTERIO DO TRABALHO E PREVIDENCIA SOCIAL,2010,Carlos Lupi,PDT,PMDB,0.0182522531272986,190546.24
CE,SOBRAL,MINISTERIO DO TRABALHO E PREVIDENCIA SOCIAL,2010,Carlos Lupi,PDT,PSB,0.0233707427330906,197437.32
PR,LONDRINA,MINISTERIO DO TRABALHO E PREVIDENCIA SOCIAL,2010,Carlos Lupi,PDT,PMDB,0.0191578203036687,200000
AP,MACAPA,MINISTERIO DO TRABALHO E PREVIDENCIA SOCIAL,2011,Paulo Roberto dos Santos Pinto,PDT,PSB,0.298735497975306,204425
RS,PORTO ALEGRE,MINISTERIO DO TRABALHO E EMPREGO,2012,Brizola Neto,PDT,PT,0.0199264080200524,214619.43
RO,PORTO VELHO,MINISTERIO DO TRABALHO E EMPREGO,2012,Brizola Neto,PDT,PMDB,0.152954916664099,243200
AC,RIO BRANCO,MINISTERIO DO TRABALHO E EMPREGO,2008,Carlos Lupi,PDT,PT,0.360990658355794,245500
ES,VITORIA,MINISTERIO DO TRABALHO E PREVIDENCIA SOCIAL,2012,Brizola Neto,PDT,PSB,0.0753199982001455,269500
ES,VITORIA,MINISTERIO DO TRABALHO E EMPREGO,2012,Brizola Neto,PDT,PSB,0.0911106471734599,326000
ES,VITORIA,MINISTERIO DO TRABALHO E PREVIDENCIA SOCIAL,2014,Manoel Dias,PDT,PSB,0.086650644560725,336642
AP,MACAPA,MINISTERIO DO TRABALHO E EMPREGO,2012,Brizola Neto,PDT,PSB,0.492344425008803,343952.8
ES,VITORIA,MINISTERIO DO TRABALHO E PREVIDENCIA SOCIAL,2012,Brizola Neto,PDT,PSB,0.0973234235133104,348229.73
AP,MACAPA,MINISTERIO DO TRABALHO E EMPREGO,2012,Brizola Neto,PDT,PSB,0.510716702786422,356787.71
MS,CAMPO GRANDE,MINISTERIO DO TRABALHO E EMPREGO,2012,Brizola Neto,PDT,PMDB,0.178110848800521,446183.35
MT,CUIABA,MINISTERIO DO TRABALHO E EMPREGO,2012,Brizola Neto,PDT,PMDB,0.145409676516434,453000
ES,VITORIA,MINISTERIO DO TRABALHO E PREVIDENCIA SOCIAL,2012,Brizola Neto,PDT,PSB,0.127918230709486,457700
AM,MANAUS,MINISTERIO DO TRABALHO E EMPREGO,2010,Carlos Lupi,PDT,PMDB,0.143540661609216,499656
SE,ARACAJU,MINISTERIO DO TRABALHO E EMPREGO,2012,Brizola Neto,PDT,PT,0.247291752630554,522000
CE,FORTALEZA,MINISTERIO DO TRABALHO E PREVIDENCIA SOCIAL,2012,Brizola Neto,PDT,PSB,0.0628242198325472,540665.55
AC,RIO BRANCO,MINISTERIO DO TRABALHO E PREVIDENCIA SOCIAL,2013,Manoel Dias,PDT,PT,0.76982094446226,597737.48
PE,RECIFE,MINISTERIO DO TRABALHO E EMPREGO,2012,Brizola Neto,PDT,PSB,0.0685251462653571,612000
AP,MACAPA,MINISTERIO DO TRABALHO E PREVIDENCIA SOCIAL,2014,Manoel Dias,PDT,PSB,0.939191276740817,705250
ES,VITORIA,MINISTERIO DO TRABALHO E EMPREGO,2008,Carlos Lupi,PDT,PMDB,0.207927964864978,718110
MA,SAO LUIS,MINISTERIO DO TRABALHO E EMPREGO,2012,Brizola Neto,PDT,PMDB,0.107978268517082,725000
MT,CUIABA,MINISTERIO DO TRABALHO E PREVIDENCIA SOCIAL,2013,Manoel Dias,PDT,PMDB,0.234089738485088,744900
MA,SAO LUIS,MINISTERIO DO TRABALHO E EMPREGO,2008,Carlos Lupi,PDT,PDT,0.129045272735606,813700
PA,BELEM,MINISTERIO DO TRABALHO E EMPREGO,2008,Carlos Lupi,PDT,PT,0.115886199713638,848460
RO,PORTO VELHO,MINISTERIO DO TRABALHO E EMPREGO,2012,Brizola Neto,PDT,PMDB,0.546672721132118,869215.64
PB,JOAO PESSOA,MINISTERIO DO TRABALHO E EMPREGO,2012,Brizola Neto,PDT,PSB,0.232754966946436,888000
AC,RIO BRANCO,MINISTERIO DO TRABALHO E PREVIDENCIA SOCIAL,2013,Manoel Dias,PDT,PT,1.15734152174669,898632.87
ES,VITORIA,MINISTERIO DO TRABALHO E PREVIDENCIA SOCIAL,2011,Paulo Roberto dos Santos Pinto,PDT,PSB,0.262901227032435,932514.07
PE,RECIFE,MINISTERIO DO TRABALHO E EMPREGO,2012,Brizola Neto,PDT,PSB,0.109057994219702,974000
AC,RIO BRANCO,MINISTERIO DO TURISMO,2015,Henrique Eduardo Alves,PMDB,PT,0.00655962006837475,5270.74
AC,RIO BRANCO,MINISTERIO DO TURISMO,2011,Gastão Vieira,PMDB,PT,0.02679618154413,20000
PE,OLINDA,MINISTERIO DO TURISMO,2013,Gastão Vieira,PMDB,PSB,0.00279609710540747,25748
BA,SALVADOR,MINISTERIO DO TURISMO,2012,Gastão Vieira,PMDB,PT,0.00362584928292025,51397.65
ES,VITORIA,"MINISTÉRIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",2010,Wagner Rossi,PMDB,PMDB,0.0150947768536317,53023
MA,SAO LUIS,MINISTERIO DO TURISMO,2015,Henrique Eduardo Alves,PMDB,PCdoB,0.00826726210744961,57079.17
PI,TERESINA,MINISTERIO DA INTEGRACAO NACIONAL,2010,Geddel Vieira Lima,PMDB,PT,0.0203055547985502,63333.33
RN,NATAL,MINISTERIO DA SAUDE,2009,José Gomes Temporão,PMDB,PSB,0.0223104654249936,70000
PI,TERESINA,MINISTERIO DA INTEGRACAO NACIONAL,2010,João Santana,PMDB,PT,0.0233513881786397,72833.33
PI,TERESINA,MINISTERIO DA INTEGRACAO NACIONAL,2010,Geddel Vieira Lima,PMDB,PT,0.0241230003703092,75240
SE,ARACAJU,MINISTERIO DO TURISMO,2013,Gastão Vieira,PMDB,PT,0.0350691499875664,77000
DF,BRASILIA,MINISTERIO DO TURISMO,2012,Gastão Vieira,PMDB,PT,0.0293042711962702,77613.3
CE,FORTALEZA,MINISTERIO DA SAUDE,2009,José Gomes Temporão,PMDB,PSB,0.00950530130001735,81249.5
MT,CUIABA,"MINISTÉRIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",2013,Antônio Andrade,PMDB,PMDB,0.0276545804627303,88000
ES,VITORIA,"MINISTÉRIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",2008,Reinhold Stephanes,PMDB,PMDB,0.0260918310146257,90112
PI,TERESINA,MINISTERIO DA INTEGRACAO NACIONAL,2010,João Santana,PMDB,PT,0.0304583338008955,95000
ES,VITORIA,"MINISTÉRIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",2008,Reinhold Stephanes,PMDB,PMDB,0.0275940107387898,95300
PI,TERESINA,MINISTERIO DO TURISMO,2011,Gastão Vieira,PMDB,PSB,0.0310488492341125,97500
RJ,RIO DE JANEIRO,MINISTERIO DO TURISMO,2015,Henrique Eduardo Alves,PMDB,PMDB,0.00589123012752127,97500
PR,LONDRINA,"MINISTÉRIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",2010,Wagner Rossi,PMDB,PMDB,0.0095400197766179,99594
PE,OLINDA,MINISTERIO DO TURISMO,2013,Gastão Vieira,PMDB,PSB,0.0108594729897758,100000
PI,TERESINA,MINISTERIO DO TURISMO,2011,Gastão Vieira,PMDB,PSB,0.0318449735734487,100000
DF,BRASILIA,MINISTERIO DA SAUDE,2015,Marcelo Castro,PMDB,PSB,0.0386507935587679,100000
AC,RIO BRANCO,MINISTERIO DO TURISMO,2011,Gastão Vieira,PMDB,PT,0.137178576452855,102386.66
AC,RIO BRANCO,MINISTERIO DA SAUDE,2010,José Gomes Temporão,PMDB,PT,0.139825107499662,102462.86
PI,TERESINA,MINISTERIO DA SAUDE,2009,José Gomes Temporão,PMDB,PT,0.0327044105140168,102866
SC,FLORIANOPOLIS,MINISTERIO DA SAUDE,2015,Marcelo Castro,PMDB,PSD,0.0151944908412876,103614.12
MA,SAO LUIS,MINISTERIO DA SAUDE,2015,Marcelo Castro,PMDB,PCdoB,0.0152209344951893,105089
PI,TERESINA,MINISTERIO DA INTEGRACAO NACIONAL,2010,João Santana,PMDB,PT,0.033842591330917,105555.55
PI,TERESINA,MINISTERIO DA INTEGRACAO NACIONAL,2009,Geddel Vieira Lima,PMDB,PT,0.0335595081589343,105555.56
PE,RECIFE,MINISTERIO DA SAUDE,2009,José Gomes Temporão,PMDB,PSB,0.0121449365375989,107000
RJ,NITEROI,"MINISTÉRIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",2010,Wagner Rossi,PMDB,PMDB,0.00680804295072593,108885
PI,TERESINA,MINISTERIO DA INTEGRACAO NACIONAL,2009,Geddel Vieira Lima,PMDB,PT,0.0349725386088878,110000
AC,RIO BRANCO,MINISTERIO DA SAUDE,2009,José Gomes Temporão,PMDB,PT,0.159159176539359,110000
PI,TERESINA,MINISTERIO DA SAUDE,2009,José Gomes Temporão,PMDB,PT,0.0350268414233823,110170.8
PE,OLINDA,MINISTERIO DO TURISMO,2013,Gastão Vieira,PMDB,PSB,0.0119671392347329,110200
SP,SAO PAULO,"MINISTÉRIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",2010,Wagner Rossi,PMDB,PSDB,0.00273992925461358,113028
RJ,CAMPOS DOS GOYTACAZES,"MINISTÉRIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",2009,Reinhold Stephanes,PMDB,PMDB,0.00712035886108986,114000
PI,TERESINA,MINISTERIO DA INTEGRACAO NACIONAL,2009,Geddel Vieira Lima,PMDB,PT,0.036390357117309,114459.5
PI,TERESINA,MINISTERIO DA INTEGRACAO NACIONAL,2009,Geddel Vieira Lima,PMDB,PT,0.0363908340155628,114461
PA,BELEM,MINISTERIO DA SAUDE,2009,José Gomes Temporão,PMDB,PT,0.0154756682124392,115000
RN,NATAL,MINISTERIO DA SAUDE,2010,José Gomes Temporão,PMDB,PSB,0.036298981134946,115000
AP,MACAPA,MINISTERIO DA INTEGRACAO NACIONAL,2010,Geddel Vieira Lima,PMDB,PDT,0.172726035571095,115500
PI,TERESINA,MINISTERIO DA INTEGRACAO NACIONAL,2009,Geddel Vieira Lima,PMDB,PT,0.0367644043143395,115636
PI,TERESINA,MINISTERIO DA INTEGRACAO NACIONAL,2009,Geddel Vieira Lima,PMDB,PT,0.0367644043143395,115636
PI,TERESINA,MINISTERIO DA SAUDE,2009,José Gomes Temporão,PMDB,PT,0.0369062020617901,116082
AP,MACAPA,MINISTERIO DA INTEGRACAO NACIONAL,2010,Geddel Vieira Lima,PMDB,PDT,0.174086907366504,116410
AC,RIO BRANCO,MINISTERIO DA INTEGRACAO NACIONAL,2009,Geddel Vieira Lima,PMDB,PT,0.173628192588391,120000
RJ,RIO DE JANEIRO,MINISTERIO DO TURISMO,2012,Gastão Vieira,PMDB,PMDB,0.00742491466367739,120516.5
AC,RIO BRANCO,MINISTERIO DO TURISMO,2011,Gastão Vieira,PMDB,PT,0.162609760509127,121367.86
PB,JOAO PESSOA,MINISTERIO DO TURISMO,2011,Gastão Vieira,PMDB,PSB,0.0321468136737708,121875
PB,JOAO PESSOA,MINISTERIO DO TURISMO,2011,Gastão Vieira,PMDB,PSB,0.0321468136737708,121875
PB,JOAO PESSOA,MINISTERIO DO TURISMO,2011,Gastão Vieira,PMDB,PSB,0.0321468136737708,121875
AC,RIO BRANCO,MINISTERIO DA SAUDE,2009,José Gomes Temporão,PMDB,PT,0.176911501710238,122269.2
RJ,RIO DE JANEIRO,MINISTERIO DO TURISMO,2012,Gastão Vieira,PMDB,PMDB,0.00762933370052365,123834.5
PR,LONDRINA,MINISTERIO DA SAUDE,2010,José Gomes Temporão,PMDB,PMDB,0.0118778485882746,124000
PE,RECIFE,"MINISTÉRIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",2011,Mendes Ribeiro Filho,PMDB,PSB,0.014017231967817,124260
MT,CUIABA,MINISTERIO DA SAUDE,2015,Marcelo Castro,PMDB,PDT,0.0382791412978038,125000
PA,BELEM,"MINISTÉRIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",2009,Reinhold Stephanes,PMDB,PT,0.0168213784917818,125000
PI,TERESINA,MINISTERIO DA INTEGRACAO NACIONAL,2010,João Santana,PMDB,PT,0.040611154483066,126666.8
PI,TERESINA,"MINISTÉRIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",2011,Mendes Ribeiro Filho,PMDB,PSB,0.0403635040043462,126750
PI,TERESINA,MINISTERIO DA INTEGRACAO NACIONAL,2009,Geddel Vieira Lima,PMDB,PT,0.0412093758196689,129616.88
PB,JOAO PESSOA,"MINISTÉRIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",2016,Kátia Abreu,PMDB,PSB,0.0327274393396912,130000
PR,MARINGA,MINISTERIO DA SAUDE,2010,José Gomes Temporão,PMDB,PMDB,0.0125723195742826,131250
PI,TERESINA,MINISTERIO DA SAUDE,2009,José Gomes Temporão,PMDB,PT,0.0417891346681186,131440.41
AP,MACAPA,MINISTERIO DA INTEGRACAO NACIONAL,2010,Geddel Vieira Lima,PMDB,PDT,0.198609921802213,132808.27
MS,CAMPO GRANDE,MINISTERIO DO TURISMO,2011,Gastão Vieira,PMDB,PMDB,0.0544903257472036,135000
RJ,RIO DE JANEIRO,MINISTERIO DO TURISMO,2012,Gastão Vieira,PMDB,PMDB,0.00846755648708534,137440
MA,SAO LUIS,"MINISTÉRIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",2013,Antônio Andrade,PMDB,PMDB,0.0204583223498635,139000
