UF,Municipio,órgão_Concedente,Ano_de_Vigencia,Partido_Ministro_Partido_Governador,UFMinistro_Ufdestino,Vl_Liberado
TO,PALMAS,"MINISTÉRIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",2015,sim,sim,194530
TO,PALMAS,"MINISTÉRIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",2015,sim,sim,100738.13
TO,PALMAS,"MINISTÉRIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",2015,sim,sim,120073.81
RS,PORTO ALEGRE,MINISTERIO DO DESENVOLVIMENTO SOCIAL,2014,sim,sim,8000000
TO,PALMAS,"MINISTÉRIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",2015,sim,sim,464587.27
TO,PALMAS,"MINISTÉRIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",2016,sim,sim,1016865.5
MG,BELO HORIZONTE,SEC.ESPEC.DE AGRIC.FAMIL.E DO DESENV.AGRARIO,2015,sim,sim,113605.29
MG,BELO HORIZONTE,SEC.ESPEC.DE AGRIC.FAMIL.E DO DESENV.AGRARIO,2015,sim,sim,323000
TO,PALMAS,"MINISTÉRIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",2015,sim,sim,581535
MG,BELO HORIZONTE,SEC.ESPEC.DE AGRIC.FAMIL.E DO DESENV.AGRARIO,2015,sim,sim,2050000
MG,BELO HORIZONTE,SEC.ESPEC.DE AGRIC.FAMIL.E DO DESENV.AGRARIO,2015,sim,sim,498930.6
MG,BELO HORIZONTE,MINISTERIO DO DESENVOLVIMENTO AGRARIO,2016,sim,sim,133200
TO,PALMAS,"MINISTÉRIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",2016,sim,sim,966026.28
MG,BELO HORIZONTE,MINISTERIO DO DESENVOLVIMENTO AGRARIO,2016,sim,sim,70000
PE,RECIFE,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA, INOVAÇÕES E COMUNICAÇÕES",2008,sim,sim,2722477.16
PE,RECIFE,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA, INOVAÇÕES E COMUNICAÇÕES",2008,sim,sim,1687500
PE,RECIFE,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA, INOVAÇÕES E COMUNICAÇÕES",2008,sim,sim,1320000
PE,RECIFE,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA, INOVAÇÕES E COMUNICAÇÕES",2008,sim,sim,3194805
PE,RECIFE,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA, INOVAÇÕES E COMUNICAÇÕES",2008,sim,sim,1000000
PE,RECIFE,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA, INOVAÇÕES E COMUNICAÇÕES",2008,sim,sim,2479336.7
PE,RECIFE,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA, INOVAÇÕES E COMUNICAÇÕES",2008,sim,sim,564214.26
PE,RECIFE,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA, INOVAÇÕES E COMUNICAÇÕES",2008,sim,sim,1100000
PR,LONDRINA,"MINISTÉRIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",2008,sim,sim,110327
PE,RECIFE,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA, INOVAÇÕES E COMUNICAÇÕES",2008,sim,sim,798000
PE,RECIFE,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA, INOVAÇÕES E COMUNICAÇÕES",2008,sim,sim,160000
PE,RECIFE,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA, INOVAÇÕES E COMUNICAÇÕES",2008,sim,sim,225030
PR,LONDRINA,"MINISTÉRIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",2008,sim,sim,3319955.08
PR,LONDRINA,"MINISTÉRIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",2008,sim,sim,106960
PR,CURITIBA,"MINISTÉRIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",2009,sim,sim,1575000
PR,CURITIBA,"MINISTÉRIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",2009,sim,sim,5925000
PE,RECIFE,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA, INOVAÇÕES E COMUNICAÇÕES",2009,sim,sim,234945
PR,LONDRINA,"MINISTÉRIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",2009,sim,sim,167718
