UF,Municipio,órgão_Concedente,Ano_de_Vigencia,Partido_Ministro_Partido_Governador,UFMinistro_Ufdestino,Vl_Liberado
RJ,NITEROI,"MINISTÉRIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",2010,sim,nao,108885
SE,ARACAJU,MINISTERIO DA JUSTICA,2011,sim,nao,118460.51
MT,CUIABA,MINISTERIO DO TURISMO,2011,sim,nao,566000
PI,TERESINA,MINISTERIO DA INTEGRACAO NACIONAL,2011,sim,nao,277777.78
PR,LONDRINA,"MINISTÉRIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",2010,sim,nao,9116311.84
BA,VITORIA DA CONQUISTA,MINISTERIO DA EDUCACAO,2011,sim,nao,183228.19
PA,BELEM,MINISTERIO DO DESENVOLVIMENTO SOCIAL,2009,sim,nao,1556000
PA,BELEM,MINISTERIO DO DESENVOLVIMENTO SOCIAL,2009,sim,nao,1500000
AC,RIO BRANCO,MINISTERIO DO DESENVOLVIMENTO SOCIAL,2009,sim,nao,1614680.84
BA,SALVADOR,MINISTERIO DO DESENVOLVIMENTO SOCIAL,2009,sim,nao,900000
RN,NATAL,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA, INOVAÇÕES E COMUNICAÇÕES",2008,sim,nao,1027410.82
PI,TERESINA,SEC.ESPEC.DE AGRIC.FAMIL.E DO DESENV.AGRARIO,2008,sim,nao,10193943.72
AC,RIO BRANCO,MINISTERIO DO TURISMO,2008,sim,nao,198550
BA,SALVADOR,SEC.ESPEC.DE AGRIC.FAMIL.E DO DESENV.AGRARIO,2009,sim,nao,90900
CE,FORTALEZA,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA, INOVAÇÕES E COMUNICAÇÕES",2009,sim,nao,28047431.89
PI,TERESINA,MINISTERIO DA JUSTICA,2009,sim,nao,179859.5
PI,TERESINA,MINISTERIO DO MEIO AMBIENTE,2009,sim,nao,455609.1
AC,RIO BRANCO,SEC.ESPEC.DE AGRIC.FAMIL.E DO DESENV.AGRARIO,2009,sim,nao,2982963.6
PI,TERESINA,MINISTERIO DOS DIREITOS HUMANOS,2009,sim,nao,139699
PA,BELEM,MINISTERIO DO DESENVOLVIMENTO AGRARIO,2009,sim,nao,145001.98
PA,BELEM,MINISTERIO DO DESENVOLVIMENTO AGRARIO,2009,sim,nao,150000
PI,TERESINA,MINISTERIO DA JUSTICA,2009,sim,nao,331700
PA,BELEM,MINISTERIO DO DESENVOLVIMENTO AGRARIO,2009,sim,nao,8162000
PA,BELEM,SEC.ESPEC.DE AGRIC.FAMIL.E DO DESENV.AGRARIO,2009,sim,nao,203200
PA,BELEM,MINISTERIO DO DESENVOLVIMENTO AGRARIO,2009,sim,nao,202498.58
PA,BELEM,MINISTERIO DO DESENVOLVIMENTO AGRARIO,2009,sim,nao,182800
PA,BELEM,MINISTERIO DO DESENVOLVIMENTO AGRARIO,2009,sim,nao,109980
PI,TERESINA,MINISTERIO DO TURISMO,2009,sim,nao,228426.91
PA,BELEM,MINISTERIO DO DESENVOLVIMENTO AGRARIO,2009,sim,nao,149194
BA,SALVADOR,MINISTERIO DO TURISMO,2009,sim,nao,1500000
BA,SALVADOR,MINISTERIO DO DESENVOLVIMENTO SOCIAL,2010,sim,nao,100000
BA,SALVADOR,SEC.ESPEC.DE AGRIC.FAMIL.E DO DESENV.AGRARIO,2010,sim,nao,2205745.69
AC,RIO BRANCO,MINISTERIO DO DESENVOLVIMENTO SOCIAL,2010,sim,nao,125000
AC,RIO BRANCO,MINISTERIO DOS DIREITOS HUMANOS,2010,sim,nao,294444.5
BA,SALVADOR,MINISTERIO DO TURISMO,2010,sim,nao,162640
BA,SALVADOR,MINISTERIO DO TURISMO,2010,sim,nao,606610
RS,PORTO ALEGRE,MINISTERIO DA JUSTICA,2011,sim,nao,135685.48
RS,PORTO ALEGRE,MINISTERIO DA JUSTICA,2011,sim,nao,290093.25
RS,PORTO ALEGRE,MINISTERIO DA JUSTICA,2011,sim,nao,113765.14
DF,BRASILIA,MINISTERIO DA JUSTICA,2011,sim,nao,2423422.73
RS,PORTO ALEGRE,SEC.ESPEC.DE AGRIC.FAMIL.E DO DESENV.AGRARIO,2011,sim,nao,343469.97
AC,RIO BRANCO,PRESIDENCIA DA REPÚBLICA,2011,sim,nao,167000
SE,ARACAJU,MINISTERIO DOS DIREITOS HUMANOS,2010,sim,nao,409571.72
CE,FORTALEZA,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA, INOVAÇÕES E COMUNICAÇÕES",2010,sim,nao,1800000
CE,FORTALEZA,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA, INOVAÇÕES E COMUNICAÇÕES",2010,sim,nao,4500000
PI,TERESINA,SEC.ESPEC.DE AGRIC.FAMIL.E DO DESENV.AGRARIO,2008,sim,nao,257409.33
AC,RIO BRANCO,SEC.ESPEC.DE AGRIC.FAMIL.E DO DESENV.AGRARIO,2008,sim,nao,3958347.6
MS,CAMPO GRANDE,MINISTERIO DA INTEGRACAO NACIONAL,2009,sim,nao,10027170.66
AC,RIO BRANCO,MINISTERIO DO DESENVOLVIMENTO AGRARIO,2008,sim,nao,22755354.06
PI,TERESINA,SEC.ESPEC.DE AGRIC.FAMIL.E DO DESENV.AGRARIO,2009,sim,nao,548780
SE,ARACAJU,MINISTERIO DA JUSTICA,2009,sim,nao,15000000
PI,TERESINA,SEC.ESPEC.DE AGRIC.FAMIL.E DO DESENV.AGRARIO,2009,sim,nao,995618.93
SE,ARACAJU,SEC.ESPEC.DE AGRIC.FAMIL.E DO DESENV.AGRARIO,2009,sim,nao,187020
BA,SALVADOR,SEC.ESPEC.DE AGRIC.FAMIL.E DO DESENV.AGRARIO,2009,sim,nao,627558.5
PR,CASCAVEL,MINISTERIO DA SAUDE,2009,sim,nao,260000
PR,CASCAVEL,MINISTERIO DA SAUDE,2009,sim,nao,250000
AM,MANAUS,MINISTERIO DA SAUDE,2009,sim,nao,243982.47
ES,VITORIA,"MINISTÉRIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",2009,sim,nao,11258539.78
BA,SALVADOR,MINISTERIO DO DESENVOLVIMENTO AGRARIO,2009,sim,nao,555000
AC,RIO BRANCO,MINISTERIO DO TURISMO,2009,sim,nao,110483.25
BA,SALVADOR,MINISTERIO DA JUSTICA,2009,sim,nao,9900000
ES,VITORIA,"MINISTÉRIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",2009,sim,nao,2681250
GO,GOIANIA,MINISTERIO DAS CIDADES,2009,sim,nao,5952.42
GO,GOIANIA,MINISTERIO DAS CIDADES,2009,sim,nao,295300
GO,GOIANIA,MINISTERIO DAS CIDADES,2009,sim,nao,295300
GO,GOIANIA,MINISTERIO DAS CIDADES,2009,sim,nao,53335.26
BA,SALVADOR,MINISTERIO DO TURISMO,2009,sim,nao,214331.52
BA,SALVADOR,MINISTERIO DO TURISMO,2009,sim,nao,235992.8
BA,SALVADOR,MINISTERIO DO TURISMO,2009,sim,nao,254064
BA,SALVADOR,MINISTERIO DO TURISMO,2009,sim,nao,121398.94
BA,SALVADOR,MINISTERIO DO MEIO AMBIENTE,2009,sim,nao,1710795.22
PI,TERESINA,MINISTERIO DO TURISMO,2009,sim,nao,75994.24
AC,RIO BRANCO,MINISTERIO DO TURISMO,2009,sim,nao,66000
BA,SALVADOR,MINISTERIO DO TURISMO,2009,sim,nao,10042.5
BA,SALVADOR,MINISTERIO DO TURISMO,2009,sim,nao,225972
BA,SALVADOR,MINISTERIO DO TURISMO,2009,sim,nao,85131.96
BA,SALVADOR,MINISTERIO DO TURISMO,2009,sim,nao,102467
BA,SALVADOR,MINISTERIO DO TURISMO,2009,sim,nao,92659.85
BA,SALVADOR,MINISTERIO DO TURISMO,2009,sim,nao,108504
BA,SALVADOR,MINISTERIO DO DESENVOLVIMENTO AGRARIO,2009,sim,nao,688880
PI,TERESINA,SEC.ESPEC.DE AGRIC.FAMIL.E DO DESENV.AGRARIO,2009,sim,nao,150941
AC,RIO BRANCO,SEC.ESPEC.DE AGRIC.FAMIL.E DO DESENV.AGRARIO,2009,sim,nao,141380
BA,SALVADOR,SEC.ESPEC.DE AGRIC.FAMIL.E DO DESENV.AGRARIO,2009,sim,nao,13200000
AC,RIO BRANCO,MINISTERIO DA JUSTICA,2009,sim,nao,3324415.37
SE,ARACAJU,SEC.ESPEC.DE AGRIC.FAMIL.E DO DESENV.AGRARIO,2009,sim,nao,556989.06
SE,ARACAJU,SEC.ESPEC.DE AGRIC.FAMIL.E DO DESENV.AGRARIO,2009,sim,nao,759550
PR,LONDRINA,MINISTERIO DA SAUDE,2009,sim,nao,375000
SE,ARACAJU,MINISTERIO DO DESENVOLVIMENTO AGRARIO,2009,sim,nao,1099254
AM,MANAUS,MINISTERIO DA SAUDE,2009,sim,nao,966666.67
TO,PALMAS,MINISTERIO DA SAUDE,2009,sim,nao,642646.73
TO,PALMAS,MINISTERIO DA SAUDE,2009,sim,nao,394581.05
PR,CURITIBA,MINISTERIO DA SAUDE,2009,sim,nao,1733500.62
AC,RIO BRANCO,SEC.ESPEC.DE AGRIC.FAMIL.E DO DESENV.AGRARIO,2009,sim,nao,244500
MS,CAMPO GRANDE,MINISTERIO DA INTEGRACAO NACIONAL,2009,sim,nao,9156523.09
SE,ARACAJU,MINISTERIO DO DESENVOLVIMENTO AGRARIO,2009,sim,nao,150000
SE,ARACAJU,MINISTERIO DO TURISMO,2009,sim,nao,43334000
PA,BELEM,SEC.ESPEC.DE AGRIC.FAMIL.E DO DESENV.AGRARIO,2009,sim,nao,262200
PA,BELEM,MINISTERIO DO DESENVOLVIMENTO AGRARIO,2009,sim,nao,1072500
PA,BELEM,MINISTERIO DO DESENVOLVIMENTO AGRARIO,2009,sim,nao,110000
PA,BELEM,MINISTERIO DO DESENVOLVIMENTO AGRARIO,2009,sim,nao,193840
PA,BELEM,MINISTERIO DO DESENVOLVIMENTO AGRARIO,2009,sim,nao,328326
PA,BELEM,MINISTERIO DO DESENVOLVIMENTO AGRARIO,2009,sim,nao,330000
PA,BELEM,MINISTERIO DO DESENVOLVIMENTO AGRARIO,2009,sim,nao,104990
ES,VITORIA,MINISTERIO DA SAUDE,2009,sim,nao,799000
MS,CAMPO GRANDE,"MINISTÉRIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",2009,sim,nao,11060408
PR,CURITIBA,MINISTERIO DA SAUDE,2009,sim,nao,168000
BA,SALVADOR,MINISTERIO DO DESENVOLVIMENTO SOCIAL,2010,sim,nao,100000
PR,CURITIBA,"MINISTÉRIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",2010,sim,nao,200000
PR,MARINGA,MINISTERIO DA SAUDE,2010,sim,nao,131250
BA,SALVADOR,MINISTERIO DO DESENVOLVIMENTO SOCIAL,2010,sim,nao,100000
BA,SALVADOR,MINISTERIO DO DESENVOLVIMENTO SOCIAL,2010,sim,nao,100000
BA,SALVADOR,MINISTERIO DO TURISMO,2010,sim,nao,1403404.88
MS,CAMPO GRANDE,MINISTERIO DA INTEGRACAO NACIONAL,2010,sim,nao,2998531
RR,BOA VISTA,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA, INOVAÇÕES E COMUNICAÇÕES",2008,nao,nao,320000
PA,BELEM,PRESIDENCIA DA REPÚBLICA,2008,nao,nao,875205
MT,CUIABA,MINISTERIO DA INTEGRACAO NACIONAL,2009,nao,nao,117500
RO,PORTO VELHO,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA, INOVAÇÕES E COMUNICAÇÕES",2008,nao,nao,295000
PI,TERESINA,MINISTERIO DA INTEGRACAO NACIONAL,2009,nao,nao,409555.9
SE,ARACAJU,PRESIDENCIA DA REPÚBLICA,2008,nao,nao,4987338.4
RJ,RIO DE JANEIRO,MINISTERIO DO TURISMO,2008,nao,nao,508160
AM,MANAUS,SEC.ESPEC.DE AGRIC.FAMIL.E DO DESENV.AGRARIO,2009,nao,nao,871167
PR,CURITIBA,MINISTERIO DA JUSTICA,2009,nao,nao,14780131.11
CE,FORTALEZA,MINISTERIO DA JUSTICA,2009,nao,nao,18955373.95
PE,RECIFE,MINISTERIO DA JUSTICA,2009,nao,nao,2937426.78
PE,RECIFE,SEC.ESPEC.DE AGRIC.FAMIL.E DO DESENV.AGRARIO,2009,nao,nao,748838
DF,BRASILIA,MINISTERIO DO DESENVOLVIMENTO SOCIAL,2009,nao,nao,3480000
GO,GOIANIA,MINISTERIO DOS DIREITOS HUMANOS,2009,nao,nao,11530432.98
MT,CUIABA,MINISTERIO DO TURISMO,2009,nao,nao,157999.38
CE,FORTALEZA,MINISTERIO DA SAUDE,2009,nao,nao,81249.5
GO,GOIANIA,MINISTERIO DO ESPORTE,2009,nao,nao,535275.16
PA,BELEM,"MINISTÉRIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",2009,nao,nao,2567500
GO,GOIANIA,SEC.ESPEC.DE AGRIC.FAMIL.E DO DESENV.AGRARIO,2009,nao,nao,295499.76
GO,GOIANIA,MINISTERIO DA JUSTICA,2009,nao,nao,25212584.98
GO,GOIANIA,"MINISTÉRIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",2009,nao,nao,4353862.74
RS,PORTO ALEGRE,"MINISTÉRIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",2009,nao,nao,7702133.59
RN,NATAL,MINISTERIO DA SAUDE,2010,nao,nao,115000
RN,NATAL,MINISTERIO DA SAUDE,2010,nao,nao,337000
MT,CUIABA,MINISTERIO DO TURISMO,2009,nao,nao,133250
PE,RECIFE,SEC.ESPEC.DE AGRIC.FAMIL.E DO DESENV.AGRARIO,2009,nao,nao,1762988.5
CE,FORTALEZA,MINISTERIO DO ESPORTE,2009,nao,nao,509718.09
SP,SAO PAULO,MINISTERIO DA SAUDE,2009,nao,nao,305026.26
AM,MANAUS,SEC.ESPEC.DE AGRIC.FAMIL.E DO DESENV.AGRARIO,2009,nao,nao,1966993.65
AP,MACAPA,MINISTERIO DO DESENVOLVIMENTO SOCIAL,2009,nao,nao,358000
PI,TERESINA,MINISTERIO DA SAUDE,2009,nao,nao,300000
SP,CAMPINAS,MINISTERIO DA SAUDE,2009,nao,nao,647762.38
PE,RECIFE,SEC.ESPEC.DE AGRIC.FAMIL.E DO DESENV.AGRARIO,2009,nao,nao,453360
MT,CUIABA,MINISTERIO DO TURISMO,2009,nao,nao,202273.19
GO,GOIANIA,SEC.ESPEC.DE AGRIC.FAMIL.E DO DESENV.AGRARIO,2009,nao,nao,1276633.8
AC,RIO BRANCO,MINISTERIO DA SAUDE,2009,nao,nao,122269.2
PA,BELEM,PRESIDENCIA DA REPÚBLICA,2009,nao,nao,2004586.31
PA,BELEM,PRESIDENCIA DA REPÚBLICA,2009,nao,nao,332516.84
MT,CUIABA,MINISTERIO DAS CIDADES,2009,nao,nao,1124533.86
CE,FORTALEZA,MINISTERIO DA JUSTICA,2009,nao,nao,2203252.84
MT,CUIABA,MINISTERIO DO ESPORTE,2009,nao,nao,184303.08
MT,CUIABA,MINISTERIO DO ESPORTE,2009,nao,nao,109687.5
SP,SAO PAULO,MINISTERIO DA SAUDE,2009,nao,nao,171990
SP,CAMPINAS,MINISTERIO DA SAUDE,2009,nao,nao,569000
RR,BOA VISTA,MINISTERIO DO DESENVOLVIMENTO AGRARIO,2009,nao,nao,456750
BA,ILHEUS,MINISTERIO DO ESPORTE,2009,nao,nao,487500
PA,BELEM,PRESIDENCIA DA REPÚBLICA,2009,nao,nao,499991.75
PA,BELEM,PRESIDENCIA DA REPÚBLICA,2009,nao,nao,260243
RS,PORTO ALEGRE,MINISTERIO DA SAUDE,2009,nao,nao,1736400
AM,MANAUS,MINISTERIO DO DESENVOLVIMENTO AGRARIO,2009,nao,nao,1014040
AM,MANAUS,"MINIST. DA INDUSTRIA, COM.EXTERIOR E SERVICOS",2009,nao,nao,4217500
RR,BOA VISTA,MINISTERIO DO ESPORTE,2009,nao,nao,253718.16
PA,BELEM,PRESIDENCIA DA REPÚBLICA,2009,nao,nao,1002667.5
RR,BOA VISTA,"MINISTÉRIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",2009,nao,nao,6962583.33
AL,MACEIO,SEC.ESPEC.DE AGRIC.FAMIL.E DO DESENV.AGRARIO,2010,nao,nao,2541789.88
RS,PORTO ALEGRE,"MINISTÉRIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",2010,nao,nao,5522764.01
GO,GOIANIA,SEC.ESPEC.DE AGRIC.FAMIL.E DO DESENV.AGRARIO,2010,nao,nao,763000
RO,PORTO VELHO,SEC.ESPEC.DE AGRIC.FAMIL.E DO DESENV.AGRARIO,2010,nao,nao,5357847.69
GO,GOIANIA,SEC.ESPEC.DE AGRIC.FAMIL.E DO DESENV.AGRARIO,2010,nao,nao,149635
PR,PONTA GROSSA,MINISTERIO DO DESENVOLVIMENTO AGRARIO,2010,nao,nao,126796
RR,BOA VISTA,SEC.ESPEC.DE AGRIC.FAMIL.E DO DESENV.AGRARIO,2010,nao,nao,642700
AM,MANAUS,MINISTERIO DO DESENVOLVIMENTO AGRARIO,2010,nao,nao,350000
AM,MANAUS,MINISTERIO DO DESENVOLVIMENTO AGRARIO,2010,nao,nao,600000
AM,MANAUS,MINISTERIO DO DESENVOLVIMENTO AGRARIO,2010,nao,nao,1240000
AM,MANAUS,MINISTERIO DO DESENVOLVIMENTO AGRARIO,2010,nao,nao,264000
SP,SAO PAULO,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA, INOVAÇÕES E COMUNICAÇÕES",2010,nao,nao,6269131
PI,TERESINA,MINISTERIO DO ESPORTE,2010,nao,nao,29515.2
GO,GOIANIA,SEC.ESPEC.DE AGRIC.FAMIL.E DO DESENV.AGRARIO,2010,nao,nao,683338.8
MA,SAO LUIS,MINISTERIO DO DESENVOLVIMENTO SOCIAL,2010,nao,nao,222200
MA,SAO LUIS,SEC.ESPEC.DE AGRIC.FAMIL.E DO DESENV.AGRARIO,2010,nao,nao,484735
AC,RIO BRANCO,"MINIST. DA INDUSTRIA, COM.EXTERIOR E SERVICOS",2010,nao,nao,7741506.77
AC,RIO BRANCO,MINISTERIO DO ESPORTE,2010,nao,nao,1780097.4
PI,TERESINA,MINISTERIO DA INTEGRACAO NACIONAL,2010,nao,nao,13951404.45
RN,NATAL,MINISTERIO DO DESENVOLVIMENTO AGRARIO,2010,nao,nao,1796942.88
GO,GOIANIA,SEC.ESPEC.DE AGRIC.FAMIL.E DO DESENV.AGRARIO,2010,nao,nao,147961.22
GO,GOIANIA,MINISTERIO DO DESENVOLVIMENTO AGRARIO,2010,nao,nao,129700
AL,MACEIO,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA, INOVAÇÕES E COMUNICAÇÕES",2010,nao,nao,1870378.19
PB,JOAO PESSOA,MINISTERIO DO DESENVOLVIMENTO AGRARIO,2010,nao,nao,154566
GO,GOIANIA,SEC.ESPEC.DE AGRIC.FAMIL.E DO DESENV.AGRARIO,2010,nao,nao,301630
AL,MACEIO,MINISTERIO DO TURISMO,2010,nao,nao,11111112
PA,BELEM,"MINISTÉRIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",2010,nao,nao,162500
PA,BELEM,"MINISTÉRIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",2010,nao,nao,433333.33
MG,BELO HORIZONTE,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA, INOVAÇÕES E COMUNICAÇÕES",2010,nao,nao,925656.28
AM,MANAUS,SEC.ESPEC.DE AGRIC.FAMIL.E DO DESENV.AGRARIO,2010,nao,nao,149600
TO,PALMAS,MINISTERIO DO TURISMO,2010,nao,nao,1625000
BA,SALVADOR,PRESIDENCIA DA REPÚBLICA,2010,nao,nao,100000
AL,MACEIO,MINISTERIO DOS DIREITOS HUMANOS,2010,nao,nao,206675.79
AL,MACEIO,PRESIDENCIA DA REPÚBLICA,2010,nao,nao,262959.6
MT,CUIABA,MINISTERIO DAS CIDADES,2010,nao,nao,453377.01
MT,CUIABA,MINISTERIO DAS CIDADES,2010,nao,nao,477777.78
MT,CUIABA,MINISTERIO DAS CIDADES,2010,nao,nao,150000
MT,CUIABA,MINISTERIO DAS CIDADES,2010,nao,nao,387568.15
PA,BELEM,"MINISTÉRIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",2010,nao,nao,2127580
AM,MANAUS,SEC.ESPEC.DE AGRIC.FAMIL.E DO DESENV.AGRARIO,2010,nao,nao,840000
GO,GOIANIA,MINISTERIO DO DESENVOLVIMENTO AGRARIO,2010,nao,nao,152145
MA,SAO LUIS,MINISTERIO DO TURISMO,2010,nao,nao,195000
PE,RECIFE,MINISTERIO DO ESPORTE,2010,nao,nao,325800
MA,SAO LUIS,MINISTERIO DO TURISMO,2010,nao,nao,487500
MA,SAO LUIS,MINISTERIO DO TURISMO,2010,nao,nao,542000
MA,SAO LUIS,MINISTERIO DO TURISMO,2010,nao,nao,487500
PR,MARINGA,MINISTERIO DO TRABALHO E PREVIDENCIA SOCIAL,2010,nao,nao,190546.24
AC,RIO BRANCO,MINISTERIO DO ESPORTE,2010,nao,nao,1183109.26
SE,ARACAJU,MINISTERIO DO ESPORTE,2010,nao,nao,13198172.48
GO,GOIANIA,SEC.ESPEC.DE AGRIC.FAMIL.E DO DESENV.AGRARIO,2010,nao,nao,120000
MT,CUIABA,MINISTERIO DA INTEGRACAO NACIONAL,2010,nao,nao,887600
PI,TERESINA,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA, INOVAÇÕES E COMUNICAÇÕES",2010,nao,nao,800000
BA,SALVADOR,MINISTERIO DAS CIDADES,2010,nao,nao,18156913.27
PA,BELEM,MINISTERIO DO ESPORTE,2010,nao,nao,325000
MA,SAO LUIS,MINISTERIO DO TURISMO,2010,nao,nao,487500
PE,RECIFE,MINISTERIO DO ESPORTE,2010,nao,nao,5017773.07
GO,GOIANIA,SEC.ESPEC.DE AGRIC.FAMIL.E DO DESENV.AGRARIO,2010,nao,nao,181157.73
MG,BELO HORIZONTE,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA, INOVAÇÕES E COMUNICAÇÕES",2010,nao,nao,6868743.72
MG,BELO HORIZONTE,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA, INOVAÇÕES E COMUNICAÇÕES",2010,nao,nao,3288776.46
PI,TERESINA,MINISTERIO DA JUSTICA,2010,nao,nao,860817.55
PI,TERESINA,MINISTERIO DA JUSTICA,2010,nao,nao,395180.52
RO,PORTO VELHO,MINISTERIO DA JUSTICA,2010,nao,nao,1268740.66
AL,MACEIO,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA, INOVAÇÕES E COMUNICAÇÕES",2011,nao,nao,1627400
BA,SALVADOR,MINISTERIO DA JUSTICA,2010,nao,nao,5000000
AC,RIO BRANCO,PRESIDENCIA DA REPÚBLICA,2010,nao,nao,290000
BA,SALVADOR,MINISTERIO DA JUSTICA,2010,nao,nao,361348
BA,SALVADOR,MINISTERIO DA JUSTICA,2010,nao,nao,134978.15
RO,PORTO VELHO,MINISTERIO DA JUSTICA,2010,nao,nao,307958.4
CE,FORTALEZA,MINISTERIO DA JUSTICA,2010,nao,nao,265800
BA,SALVADOR,MINISTERIO DA JUSTICA,2010,nao,nao,11538000
PE,RECIFE,MINISTERIO DO DESENVOLVIMENTO AGRARIO,2010,nao,nao,531932.45
MG,BELO HORIZONTE,MINISTERIO DA SAUDE,2010,nao,nao,1400000
SP,GUARULHOS,MINISTERIO DA SAUDE,2010,nao,nao,1996102.5
PR,MARINGA,MINISTERIO DO ESPORTE,2010,nao,nao,73000
SC,FLORIANOPOLIS,MINISTERIO DA JUSTICA,2010,nao,nao,1153843.2
AC,RIO BRANCO,MINISTERIO DA INTEGRACAO NACIONAL,2011,nao,nao,1390111.6
AL,MACEIO,MINISTERIO DA SAUDE,2010,nao,nao,199000
AC,RIO BRANCO,MINISTERIO DA SAUDE,2010,nao,nao,139867.27
MG,BELO HORIZONTE,MINISTERIO DA SAUDE,2010,nao,nao,103142.93
MG,BELO HORIZONTE,MINISTERIO DA SAUDE,2010,nao,nao,150000
PI,TERESINA,MINISTERIO DA JUSTICA,2010,nao,nao,684783.87
GO,GOIANIA,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA, INOVAÇÕES E COMUNICAÇÕES",2011,nao,nao,1566934.79
PB,JOAO PESSOA,MINISTERIO DA SAUDE,2010,nao,nao,1055556
RO,PORTO VELHO,MINISTERIO DA JUSTICA,2010,nao,nao,845000
MT,CUIABA,MINISTERIO DA SAUDE,2010,nao,nao,800000
MT,CUIABA,SEC.ESPEC.DE AGRIC.FAMIL.E DO DESENV.AGRARIO,2010,nao,nao,5233613.73
GO,GOIANIA,"MINISTÉRIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",2010,nao,nao,949439.7
AC,RIO BRANCO,MINISTERIO DA JUSTICA,2010,nao,nao,1406207.07
AC,RIO BRANCO,MINISTERIO DA JUSTICA,2010,nao,nao,5049523
BA,SALVADOR,MINISTERIO DA JUSTICA,2010,nao,nao,470949.69
BA,SALVADOR,MINISTERIO DA JUSTICA,2010,nao,nao,276966.2
BA,SALVADOR,MINISTERIO DA JUSTICA,2010,nao,nao,369412.23
AC,RIO BRANCO,MINISTERIO DA JUSTICA,2010,nao,nao,537134.02
AC,RIO BRANCO,MINISTERIO DA JUSTICA,2010,nao,nao,404040.4
RO,PORTO VELHO,MINISTERIO DA JUSTICA,2010,nao,nao,439894
SC,FLORIANOPOLIS,MINISTERIO DOS DIREITOS HUMANOS,2010,nao,nao,9000000
CE,FORTALEZA,MINISTERIO DA JUSTICA,2010,nao,nao,292000
AC,RIO BRANCO,MINISTERIO DA JUSTICA,2010,nao,nao,2577508.56
PI,TERESINA,MINISTERIO DA SAUDE,2010,nao,nao,799915.61
AP,MACAPA,MINISTERIO DA SAUDE,2010,nao,nao,166630.4
BA,SALVADOR,MINISTERIO DA SAUDE,2010,nao,nao,7476840
AC,RIO BRANCO,PRESIDENCIA DA REPÚBLICA,2010,nao,nao,800000
PR,MARINGA,MINISTERIO DA JUSTICA,2010,nao,nao,275830
MT,CUIABA,MINISTERIO DO TURISMO,2010,nao,nao,3497963.44
CE,FORTALEZA,"MINIST.DOS TRANSP.,PORTOS E AVIACAO CIVIL",2010,nao,nao,34368052.51
GO,GOIANIA,MINISTERIO DA SAUDE,2010,nao,nao,9915925.59
AL,MACEIO,MINISTERIO DA INTEGRACAO NACIONAL,2011,nao,nao,4576623.22
AL,MACEIO,MINISTERIO DA EDUCACAO,2011,nao,nao,244800
RN,MOSSORO,MINISTERIO DA EDUCACAO,2011,nao,nao,523577.57
AC,RIO BRANCO,MINISTERIO DA CULTURA,2011,nao,nao,100000
AL,MACEIO,MINISTERIO DA EDUCACAO,2011,nao,nao,100000
RO,PORTO VELHO,MINISTERIO DA EDUCACAO,2011,nao,nao,144687.24
SC,FLORIANOPOLIS,MINISTERIO DA EDUCACAO,2011,nao,nao,250500
AL,MACEIO,"MINISTÉRIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",2011,nao,nao,1512900.19
CE,FORTALEZA,MINISTERIO DA EDUCACAO,2011,nao,nao,573172.25
PR,CURITIBA,MINISTERIO DO ESPORTE,2011,nao,nao,1975000
PI,TERESINA,MINISTERIO DA EDUCACAO,2011,nao,nao,422623.92
AM,MANAUS,MINISTERIO DA EDUCACAO,2011,nao,nao,360328.09
PR,MARINGA,MINISTERIO DA EDUCACAO,2011,nao,nao,424269.07
AM,MANAUS,MINISTERIO DOS DIREITOS HUMANOS,2011,nao,nao,284370.55
CE,FORTALEZA,MINISTERIO DA CULTURA,2011,nao,nao,389410
