UF,Municipio,órgão_Concedente,Ano_de_Vigencia,Nome_Ministro,Partido_Ministro,Partido_Governador,Governo_Base_Aliada,Partido_Ministro_Partido_Governador,UFMinistro_Ufdestino,Transferencia_percapita,Vl_Liberado
MT,CUIABA,MINISTERIO DA JUSTICA,2011,José Eduardo Cardozo,PT,PMDB,sim,nao,nao,0.319800696520195,983662.81
RJ,RIO DE JANEIRO,MINISTERIO DA JUSTICA,2013,José Eduardo Cardozo,PT,PMDB,sim,nao,nao,0.0600118674247499,982345
SC,FLORIANOPOLIS,SEC.ESPEC.DE AGRIC.FAMIL.E DO DESENV.AGRARIO,2009,Guilherme Cassel ,PT,PMDB,sim,nao,nao,0.159813625118754,977858.5
MT,CUIABA,MINISTERIO DOS DIREITOS HUMANOS,2011,Maria do Rosário,PT,PMDB,sim,nao,nao,0.317798717887864,977505
PB,CAMPINA GRANDE,MINISTERIO DA EDUCACAO,2012,Aloizio Mercadante,PT,PSB,sim,nao,nao,0.255846985626594,976100
PI,TERESINA,MINISTERIO DA EDUCACAO,2014,José Henrique Paim,PT,PSB,sim,nao,nao,0.305394948787342,975650.74
PB,CAMPINA GRANDE,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA, INOVAÇÕES E COMUNICAÇÕES",2014,Clelio Campolina Diniz,sem_partido,PSB,sim,nao,nao,0.247233375212513,975060
BA,ILHEUS,MINISTERIO DA EDUCACAO,2012,Aloizio Mercadante,PT,PT,sim,sim,nao,0.0687814141472858,975000
RO,PORTO VELHO,"MINISTÉRIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",2015,Kátia Abreu,PMDB,PMDB,sim,sim,nao,0.551344313212729,974889.22
PE,RECIFE,MINISTERIO DO TRABALHO E EMPREGO,2012,Brizola Neto,PDT,PSB,sim,nao,nao,0.109057994219702,974000
PI,TERESINA,MINISTERIO DO DESENVOLVIMENTO AGRARIO,2014,Laudemir André Müller,sem_partido,PSB,sim,nao,nao,0.304757728225152,973615
PI,TERESINA,MINISTERIO DA CULTURA,2015,Juca Ferreira,PV,PT,sim,nao,nao,0.302369392527156,968800
MT,CUIABA,MINISTERIO DOS DIREITOS HUMANOS,2015,Nilma Lino Gomes,sem_partido,PDT,sim,nao,nao,0.296428148826851,967981.97
MS,CAMPO GRANDE,MINISTERIO DOS DIREITOS HUMANOS,2009,Paulo Vannuchi,PT,PMDB,sim,nao,nao,0.410032120340708,967880
AM,MANAUS,MINISTERIO DA SAUDE,2009,José Gomes Temporão,PMDB,PMDB,sim,sim,nao,0.28486930540121,966666.67
PE,RECIFE,MINISTERIO DOS DIREITOS HUMANOS,2011,Maria do Rosário,PT,PSB,sim,nao,nao,0.108834905863108,964800
PE,RECIFE,MINISTERIO DOS DIREITOS HUMANOS,2009,Paulo Vannuchi,PT,PSB,sim,nao,nao,0.10942680780218,964078.19
SE,ARACAJU,MINISTERIO DA SAUDE,2011,Alexandre Padilha,PT,PT,sim,sim,nao,0.46109019453216,963578.45
PB,CABEDELO,SEC.ESPEC.DE AGRIC.FAMIL.E DO DESENV.AGRARIO,2011,Afonso Florense,PT,PSB,sim,nao,nao,0.254012096433847,963010.66
ES,VITORIA,PRESIDENCIA DA REPÚBLICA,2012,Gilberto Carvalho,PT,PSB,sim,nao,nao,0.269015085519639,962554
CE,FORTALEZA,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA, INOVAÇÕES E COMUNICAÇÕES",2015,Celso Pansera,PMDB,PT,sim,nao,nao,0.107811153939841,960000
SC,FLORIANOPOLIS,MINISTERIO DE MINAS E ENERGIA,2010,Edison Lobão,PMDB,PMDB,sim,sim,nao,0.153607815565656,960000
DF,BRASILIA,MINISTERIO DA JUSTICA,2015,José Eduardo Cardozo,PT,PSB,sim,nao,nao,0.371023774489626,959938.31
DF,BRASILIA,MINISTERIO DA SAUDE,2014,Arthur Chioro,PT,PT,sim,sim,nao,0.3358608203979,958000
AP,MACAPA,SEC.ESPEC.DE AGRIC.FAMIL.E DO DESENV.AGRARIO,2009,Guilherme Cassel ,PT,PDT,sim,nao,nao,1.52706552251883,956873
MT,CACERES,MINISTERIO DA EDUCACAO,2012,Aloizio Mercadante,PT,PMDB,sim,nao,nao,0.306746309226356,955617.82
PB,CAMPINA GRANDE,MINISTERIO DA EDUCACAO,2015,Aloizio Mercadante,PT,PSB,sim,nao,nao,0.23995660089794,953156.09
PI,TERESINA,MINISTERIO DA CULTURA,2013,Marta Suplicy,PT,PSB,sim,nao,nao,0.298975618733445,951988
AP,MACAPA,MINISTERIO DA DEFESA,2012,Celso Amorim,PT,PSB,sim,nao,nao,1.36035968978045,950350
MS,CAMPO GRANDE,"MINISTÉRIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",2008,Reinhold Stephanes,PMDB,PMDB,sim,sim,nao,0.406792125880436,950290
GO,GOIANIA,"MINISTÉRIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",2010,Wagner Rossi,PMDB,PP,sim,nao,nao,0.158133341772089,949439.7
PE,RECIFE,MINISTERIO DA CULTURA,2013,Marta Suplicy,PT,PSB,sim,nao,nao,0.102893506578126,947500
TO,PALMAS,MINISTERIO DA JUSTICA,2015,José Eduardo Cardozo,PT,PMDB,sim,nao,nao,0.624939219576458,946861.66
PI,TERESINA,MINISTERIO DAS CIDADES,2015,PSD,Gilberto Kassab,PT,sim,nao,nao,0.295237678946626,945949.79
BA,SALVADOR,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA, INOVAÇÕES E COMUNICAÇÕES",2009,Sérgio Machado Rezende,PSB,PT,sim,nao,nao,0.0645608048006458,945000
PE,RECIFE,MINISTERIO DA EDUCACAO,2014,José Henrique Paim,PT,PSB,sim,nao,nao,0.101256363762374,939428.9
RJ,RIO DE JANEIRO,MINISTERIO DA JUSTICA,2015,José Eduardo Cardozo,PT,PMDB,sim,nao,nao,0.0567081334746101,938520.97
AC,RIO BRANCO,MINISTERIO DOS DIREITOS HUMANOS,2011,Maria do Rosário,PT,PT,sim,sim,nao,1.25628375816446,937658.79
RS,PORTO ALEGRE,MINISTERIO DA EDUCACAO,2011,Fernando Haddad,PT,PT,sim,sim,nao,0.0873493049790502,937500
RJ,RIO DE JANEIRO,MINISTERIO DOS DIREITOS HUMANOS,2009,Paulo Vannuchi,PT,PMDB,sim,nao,nao,0.0583834599310237,934744.24
MT,CUIABA,SEC.ESPEC.DE AGRIC.FAMIL.E DO DESENV.AGRARIO,2013,Pepe Vargas,PT,PMDB,sim,nao,nao,0.293515346563746,933999
PE,RECIFE,MINISTERIO DOS DIREITOS HUMANOS,2011,Maria do Rosário,PT,PSB,sim,nao,nao,0.105301020225717,933472.8
ES,VITORIA,MINISTERIO DO TRABALHO E PREVIDENCIA SOCIAL,2011,Paulo Roberto dos Santos Pinto,PDT,PSB,sim,nao,nao,0.262901227032435,932514.07
AM,MANAUS,MINISTERIO DO ESPORTE,2010,Orlando Silva,PCdoB,PMDB,sim,nao,nao,0.267190196202919,930072.24
DF,BRASILIA,MINISTERIO DA CULTURA,2012,Marta Suplicy,PT,PT,sim,sim,nao,0.35113791337994,930000
ES,VITORIA,"MINISTÉRIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",2010,Wagner Rossi,PMDB,PMDB,sim,sim,nao,0.26412571398639,927787
GO,GOIANIA,MINISTERIO DA JUSTICA,2009,Tarso Genro,PT,PP,sim,nao,nao,0.156492246426944,927420
PB,JOAO PESSOA,MINISTERIO DOS DIREITOS HUMANOS,2011,Maria do Rosário,PT,PSB,sim,nao,nao,0.244508670078076,926981.27
AC,RIO BRANCO,MINISTERIO DA JUSTICA,2013,José Eduardo Cardozo,PT,PT,sim,sim,nao,1.19159551710771,925229.83
PI,TERESINA,MINISTERIO DO DESENVOLVIMENTO AGRARIO,2014,Laudemir André Müller,sem_partido,PSB,sim,nao,nao,0.289170217840824,923817.3
BA,SALVADOR,SEC.ESPEC.DE AGRIC.FAMIL.E DO DESENV.AGRARIO,2013,Pepe Vargas,PT,PT,sim,sim,nao,0.061293184181984,922103.06
DF,BRASILIA,MINISTERIO DA JUSTICA,2011,José Eduardo Cardozo,PT,PT,sim,sim,nao,0.353241497978733,921959.25
CE,FORTALEZA,MINISTERIO DA SAUDE,2012,Alexandre Padilha,PT,PSB,sim,nao,nao,0.106994470721316,920794.95
PI,TERESINA,SEC.ESPEC.DE AGRIC.FAMIL.E DO DESENV.AGRARIO,2008,Guilherme Cassel ,PT,PT,sim,sim,nao,0.294900434240889,920000
DF,BRASILIA,MINISTERIO DAS CIDADES,2014,Gilberto Occhi,PP,PT,sim,nao,nao,0.321022959137167,915676.9
RS,PORTO ALEGRE,MINISTERIO DA EDUCACAO,2012,Aloizio Mercadante,PT,PT,sim,sim,nao,0.0850088941166989,915597.05
DF,BRASILIA,MINISTERIO DO ESPORTE,2014,Aldo Rebelo,PCdoB,PT,sim,nao,nao,0.320825488400531,915113.64
MT,CUIABA,MINISTERIO DA SAUDE,2011,Alexandre Padilha,PT,PMDB,sim,nao,nao,0.297443448373171,914895
MS,CAMPO GRANDE,MINISTERIO DA JUSTICA,2010,Luiz Paulo Barreto,sem_partido,PMDB,sim,nao,nao,0.37315065970806,913973.21
TO,PALMAS,MINISTERIO DA JUSTICA,2009,Tarso Genro,PT,PMDB,sim,nao,nao,0.705484535827146,911522
RJ,RIO DE JANEIRO,MINISTERIO DA EDUCACAO,2011,Fernando Haddad,PT,PMDB,sim,nao,nao,0.0564820358082913,910074.54
BA,SALVADOR,MINISTERIO DO ESPORTE,2015,George Hilton,PRB,PT,sim,nao,nao,0.0598529301692575,910000
TO,PALMAS,MINISTERIO DA JUSTICA,2009,Tarso Genro,PT,PMDB,sim,nao,nao,0.70384543644175,909404.2
DF,BRASILIA,MINISTERIO DA EDUCACAO,2014,José Henrique Paim,PT,PT,sim,sim,nao,0.318714007149138,909090.91
MT,CUIABA,MINISTERIO DA JUSTICA,2014,José Eduardo Cardozo,PT,PMDB,sim,nao,nao,0.281601023087704,907982.23
SE,ARACAJU,MINISTERIO DO DESENVOLVIMENTO AGRARIO,2013,Pepe Vargas,PT,PT,sim,sim,nao,0.41263181673682,906000
RN,NATAL,MINISTERIO DA JUSTICA,2015,José Eduardo Cardozo,PT,PSD,sim,nao,nao,0.262899323828684,904945.48
CE,FORTALEZA,MINISTERIO DA SAUDE,2009,José Gomes Temporão,PMDB,PSB,sim,nao,nao,0.105708960038765,903580
MS,CAMPO GRANDE,MINISTERIO DA INTEGRACAO NACIONAL,2011,Fernando Bezerra Coelho,PSB,PMDB,sim,nao,nao,0.364595964325386,903287.96
RJ,RIO DE JANEIRO,MINISTERIO DA JUSTICA,2015,José Eduardo Cardozo,PT,PMDB,sim,nao,nao,0.054489346964089,901800
SE,ARACAJU,MINISTERIO DA SAUDE,2012,Alexandre Padilha,PT,PT,sim,sim,nao,0.426840250949018,901003
ES,VITORIA,MINISTERIO DA JUSTICA,2014,José Eduardo Cardozo,PT,PSB,sim,nao,nao,0.231657309856324,900000
DF,BRASILIA,MINISTERIO DA CULTURA,2015,Juca Ferreira,PV,PSB,sim,nao,nao,0.347857142028912,900000
CE,FORTALEZA,MINISTERIO DA CULTURA,2013,Marta Suplicy,PT,PSB,sim,nao,nao,0.102522322527025,900000
BA,SALVADOR,MINISTERIO DO DESENVOLVIMENTO SOCIAL,2009,Patrus Ananias,PT,PT,sim,sim,nao,0.0614864807625198,900000
ES,VITORIA,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA, INOVAÇÕES E COMUNICAÇÕES",2008,Sérgio Machado Rezende,PSB,PMDB,sim,nao,nao,0.260594015371572,900000
MT,CUIABA,MINISTERIO DO DESENVOLVIMENTO SOCIAL,2012,Tereza Campello,PT,PMDB,sim,nao,nao,0.288893397052517,900000
MT,CUIABA,MINISTERIO DO MEIO AMBIENTE,2014,Izabella Teixeira,sem_partido,PMDB,sim,nao,nao,0.278959420436385,899464.76
AC,RIO BRANCO,MINISTERIO DO TRABALHO E PREVIDENCIA SOCIAL,2013,Manoel Dias,PDT,PT,sim,nao,nao,1.15734152174669,898632.87
SE,ARACAJU,SEC.ESPEC.DE AGRIC.FAMIL.E DO DESENV.AGRARIO,2012,Pepe Vargas,PT,PT,sim,sim,nao,0.425625555755052,898438.94
CE,FORTALEZA,MINISTERIO DA JUSTICA,2009,Tarso Genro,PT,PSB,sim,nao,nao,0.105053207201986,897974.75
DF,BRASILIA,MINISTERIO DA JUSTICA,2013,José Eduardo Cardozo,PT,PT,sim,sim,nao,0.321727850521962,897543.81
CE,FORTALEZA,MINISTERIO DOS DIREITOS HUMANOS,2009,Paulo Vannuchi,PT,PSB,sim,nao,nao,0.104988658497166,897423
PR,MARINGA,MINISTERIO DA SAUDE,2010,José Gomes Temporão,PMDB,PMDB,sim,sim,nao,0.0858432127817912,896168.89
PE,RECIFE,SEC.ESPEC.DE AGRIC.FAMIL.E DO DESENV.AGRARIO,2012,Pepe Vargas,PT,PSB,sim,nao,nao,0.100285445303721,895652.12
AC,RIO BRANCO,MINISTERIO DA DEFESA,2013,Celso Amorim,PT,PT,sim,sim,nao,1.15330672549754,895500
BA,SALVADOR,MINISTERIO DOS DIREITOS HUMANOS,2013,Maria do Rosário,PT,PT,sim,sim,nao,0.0592806699380629,891826.52
AC,RIO BRANCO,PRESIDENCIA DA REPÚBLICA,2010,Franklin Martins,sem_partido,PT,sim,nao,nao,1.21589589420205,891000
CE,FORTALEZA,"MINISTÉRIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",2010,Wagner Rossi,PMDB,PSB,sim,nao,nao,0.105356795143971,890060
PB,JOAO PESSOA,MINISTERIO DO TRABALHO E EMPREGO,2012,Brizola Neto,PDT,PSB,sim,nao,nao,0.232754966946436,888000
SP,BAURU,MINISTERIO DA EDUCACAO,2015,Aloizio Mercadante,PT,PSDB,nao,nao,sim,0.0199560091290112,885976.64
BA,SALVADOR,PRESIDENCIA DA REPÚBLICA,2012,Gilberto Carvalho,PT,PT,sim,sim,nao,0.0623750779610875,884188
AC,RIO BRANCO,MINISTERIO DA SAUDE,2014,Arthur Chioro,PT,PT,sim,sim,nao,1.11784442748459,883210
AP,MACAPA,MINISTERIO DA JUSTICA,2014,José Eduardo Cardozo,PT,PSB,sim,nao,nao,1.17574683851104,882882.41
SP,SAO PAULO,MINISTERIO DA SAUDE,2011,Alexandre Padilha,PT,PSDB,nao,nao,sim,0.0212217895484952,882548.27
RS,PORTO ALEGRE,MINISTERIO DA CULTURA,2012,Ana de Hollanda,sem_partido,PT,sim,nao,nao,0.0817038748898274,880000
BA,SALVADOR,PRESIDENCIA DA REPÚBLICA,2012,Gilberto Carvalho,PT,PT,sim,sim,nao,0.0618450427400653,876674.57
PA,BELEM,PRESIDENCIA DA REPÚBLICA,2008,Franklin Martins,sem_partido,PT,sim,nao,nao,0.119539143177491,875205
SP,CAMPINAS,MINISTERIO DA SAUDE,2011,Alexandre Padilha,PT,PSDB,nao,nao,sim,0.021040283558579,875000
CE,FORTALEZA,MINISTERIO DOS DIREITOS HUMANOS,2009,Paulo Vannuchi,PT,PSB,sim,nao,nao,0.10225170801079,874028.07
AC,RIO BRANCO,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA, INOVAÇÕES E COMUNICAÇÕES",2013,Marco Antonio Raupp,sem_partido,PT,sim,nao,nao,1.12509035201935,873591.03
RJ,RIO DE JANEIRO,MINISTERIO DOS DIREITOS HUMANOS,2013,Maria do Rosário,PT,PMDB,sim,nao,nao,0.0533392029007686,873118.96
SE,ARACAJU,MINISTERIO DA JUSTICA,2012,José Eduardo Cardozo,PT,PT,sim,sim,nao,0.412801659223438,871369.4
AM,MANAUS,SEC.ESPEC.DE AGRIC.FAMIL.E DO DESENV.AGRARIO,2009,Guilherme Cassel ,PT,PMDB,sim,nao,nao,0.256726279989002,871167
MA,SAO LUIS,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA, INOVAÇÕES E COMUNICAÇÕES",2014,Clelio Campolina Diniz,sem_partido,PMDB,sim,nao,nao,0.127008983074301,870123.81
MA,SAO LUIS,MINISTERIO DA SAUDE,2013,Alexandre Padilha,PT,PMDB,sim,nao,nao,0.128048492405621,870000
RO,PORTO VELHO,MINISTERIO DO TRABALHO E EMPREGO,2012,Brizola Neto,PDT,PMDB,sim,nao,nao,0.546672721132118,869215.64
CE,FORTALEZA,MINISTERIO DO MEIO AMBIENTE,2015,Izabella Teixeira,sem_partido,PT,sim,nao,nao,0.0974954053918379,868143.84
CE,FORTALEZA,MINISTERIO DO ESPORTE,2009,Orlando Silva,PCdoB,PSB,sim,nao,nao,0.101546723844672,868002
BA,SALVADOR,PRESIDENCIA DA REPÚBLICA,2012,Gilberto Carvalho,PT,PT,sim,sim,nao,0.0611650188873763,867035
PE,RECIFE,"MINISTÉRIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",2012,Mendes Ribeiro Filho,PMDB,PSB,sim,nao,nao,0.097040004801239,866667
AM,MANAUS,MINISTERIO DA JUSTICA,2009,Tarso Genro,PT,PMDB,sim,nao,nao,0.255226826201336,866078.8
MS,CAMPO GRANDE,MINISTERIO DA JUSTICA,2010,Luiz Paulo Barreto,sem_partido,PMDB,sim,nao,nao,0.35353296253972,865922.78
AC,RIO BRANCO,MINISTERIO DO DESENVOLVIMENTO SOCIAL,2008,Patrus Ananias,PT,PT,sim,sim,nao,1.27045184855155,864000
ES,VITORIA,SEC.ESPEC.DE AGRIC.FAMIL.E DO DESENV.AGRARIO,2011,Afonso Florense,PT,PSB,sim,nao,nao,0.24311405117489,862328.7
MT,CUIABA,"MINISTÉRIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",2013,Antônio Andrade,PMDB,PMDB,sim,sim,nao,0.270924329211439,862111.83
PI,TERESINA,MINISTERIO DA JUSTICA,2010,Luiz Paulo Barreto,sem_partido,PT,sim,nao,nao,0.275990192416516,860817.55
RN,NATAL,MINISTERIO DA EDUCACAO,2015,Renato Janine Ribeiro,PT,PSD,sim,nao,nao,0.249917491121166,860259.74
SE,ARACAJU,MINISTERIO DA JUSTICA,2013,José Eduardo Cardozo,PT,PT,sim,sim,nao,0.391237307928087,859024.89
PB,JOAO PESSOA,MINISTERIO DA EDUCACAO,2014,José Henrique Paim,PT,PSB,sim,nao,nao,0.217737586161868,858732
RJ,RIO DE JANEIRO,MINISTERIO DA JUSTICA,2015,José Eduardo Cardozo,PT,PMDB,sim,nao,nao,0.0517331902358571,856185.54
TO,PALMAS,MINISTERIO DO DESENVOLVIMENTO AGRARIO,2008,Guilherme Cassel ,PT,PMDB,sim,nao,nao,0.666360017774182,853280
MA,SAO LUIS,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA, INOVAÇÕES E COMUNICAÇÕES",2008,Sérgio Machado Rezende,PSB,PDT,sim,nao,nao,0.135119297493838,852000
MA,SAO LUIS,MINISTERIO DOS DIREITOS HUMANOS,2013,Maria do Rosário,PT,PMDB,sim,nao,nao,0.125205141779853,850681.42
AP,MACAPA,MINISTERIO DA DEFESA,2010,Nelson Jobim,PMDB,PDT,sim,nao,nao,1.27114398472234,850000
PA,BELEM,MINISTERIO DO TRABALHO E EMPREGO,2008,Carlos Lupi,PDT,PT,sim,nao,nao,0.115886199713638,848460
RO,PORTO VELHO,MINISTERIO DA INTEGRACAO NACIONAL,2016,Gilberto Occhi,PP,PMDB,sim,nao,nao,0.477886035774153,845000
PI,TERESINA,MINISTERIO DA JUSTICA,2015,José Eduardo Cardozo,PT,PT,sim,sim,nao,0.26365421588076,844755.49
RS,PORTO ALEGRE,MINISTERIO DA EDUCACAO,2011,Fernando Haddad,PT,PT,sim,sim,nao,0.0785628267446335,843196.75
BA,SALVADOR,MINISTERIO DA SAUDE,2014,Arthur Chioro,PT,PT,sim,sim,nao,0.0557304855209488,843000
PE,RECIFE,SEC.ESPEC.DE AGRIC.FAMIL.E DO DESENV.AGRARIO,2012,Pepe Vargas,PT,PSB,sim,nao,nao,0.0943739679239613,842856.55
MT,CUIABA,MINISTERIO DO TURISMO,2011,Gastão Vieira,PMDB,PMDB,sim,sim,nao,0.27391109549128,842512.73
RN,NATAL,PRESIDENCIA DA REPÚBLICA,2009,Franklin Martins,sem_partido,PSB,sim,nao,nao,0.268502945459517,842439
PE,RECIFE,SEC.ESPEC.DE AGRIC.FAMIL.E DO DESENV.AGRARIO,2012,Pepe Vargas,PT,PSB,sim,nao,nao,0.0943005810753253,842201.13
AC,RIO BRANCO,MINISTERIO DA DEFESA,2013,Celso Amorim,PT,PT,sim,sim,nao,1.08454010042977,842105.26
GO,GOIANIA,MINISTERIO DA JUSTICA,2010,Luiz Paulo Barreto,sem_partido,PP,sim,nao,nao,0.140100157477167,841167.65
PB,JOAO PESSOA,MINISTERIO DOS DIREITOS HUMANOS,2013,Maria do Rosário,PT,PSB,sim,nao,nao,0.214593167163164,840008
AM,MANAUS,SEC.ESPEC.DE AGRIC.FAMIL.E DO DESENV.AGRARIO,2010,Guilherme Cassel ,PT,PMDB,sim,nao,nao,0.24131433576649,840000
BA,FEIRA DE SANTANA,MINISTERIO DA EDUCACAO,2013,Aloizio Mercadante,PT,PT,sim,sim,nao,0.0558180040503486,839733.7
PE,RECIFE,SEC.ESPEC.DE AGRIC.FAMIL.E DO DESENV.AGRARIO,2013,Pepe Vargas,PT,PSB,sim,nao,nao,0.0911422102285376,839287.6
AC,RIO BRANCO,MINISTERIO DA SAUDE,2013,Alexandre Padilha,PT,PT,sim,sim,nao,1.07987190632393,838480.58
PB,JOAO PESSOA,MINISTERIO DA JUSTICA,2014,José Eduardo Cardozo,PT,PSB,sim,nao,nao,0.212467402066744,837947
PI,TERESINA,"MINISTÉRIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",2010,Wagner Rossi,PMDB,PT,sim,nao,nao,0.268187232187085,836480
DF,BRASILIA,MINISTERIO DA INTEGRACAO NACIONAL,2012,Fernando Bezerra Coelho,PSB,PT,sim,nao,nao,0.315520684666072,835666.63
MS,CAMPO GRANDE,"MINISTÉRIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",2008,Reinhold Stephanes,PMDB,PMDB,sim,sim,nao,0.356726588124096,833334
PI,TERESINA,PRESIDENCIA DA REPÚBLICA,2009,Franklin Martins,sem_partido,PT,sim,nao,nao,0.264678530835446,832500
MS,CAMPO GRANDE,MINISTERIO DO DESENVOLVIMENTO AGRARIO,2009,Guilherme Cassel ,PT,PMDB,sim,nao,nao,0.35246715311769,831998.01
ES,VITORIA,MINISTERIO DA JUSTICA,2012,José Eduardo Cardozo,PT,PSB,sim,nao,nao,0.232393636005139,831520
BA,SALVADOR,MINISTERIO DA JUSTICA,2014,José Eduardo Cardozo,PT,PT,sim,sim,nao,0.0548895700098854,830280
ES,VITORIA,MINISTERIO DA JUSTICA,2013,José Eduardo Cardozo,PT,PSB,sim,nao,nao,0.215997346957805,829292.87
RN,NATAL,SEC.ESPEC.DE AGRIC.FAMIL.E DO DESENV.AGRARIO,2009,Guilherme Cassel ,PT,PSB,sim,nao,nao,0.264235622737679,829050.1
AP,MACAPA,MINISTERIO DO DESENVOLVIMENTO SOCIAL,2008,Patrus Ananias,PT,PDT,sim,nao,nao,1.35200370537083,829000
RS,PORTO ALEGRE,MINISTERIO DA JUSTICA,2013,José Eduardo Cardozo,PT,PT,sim,sim,nao,0.0741732121597884,828072.93
PE,RECIFE,MINISTERIO DA EDUCACAO,2011,Fernando Haddad,PT,PSB,sim,nao,nao,0.0933121683583944,827193.99
SP,SAO PAULO,MINISTERIO DA SAUDE,2013,Alexandre Padilha,PT,PSDB,nao,nao,sim,0.0188810468492696,824415.78
MS,CAMPO GRANDE,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA, INOVAÇÕES E COMUNICAÇÕES",2013,Marco Antonio Raupp,sem_partido,PMDB,sim,nao,nao,0.31809603098866,823000
ES,VITORIA,MINISTERIO DA JUSTICA,2010,Luiz Paulo Barreto,sem_partido,PMDB,sim,nao,nao,0.234258069071066,822871.76
PB,JOAO PESSOA,MINISTERIO DO ESPORTE,2015,George Hilton,PRB,PSB,sim,nao,nao,0.20696706763654,822115
PE,RECIFE,MINISTERIO DO TURISMO,2009,Luiz Barretto Filho,PT,PSB,sim,nao,nao,0.0930789627452369,820049.49
MS,CAMPO GRANDE,MINISTERIO DO TURISMO,2013,Gastão Vieira,PMDB,PMDB,sim,sim,nao,0.316432071810082,818694.89
BA,SALVADOR,MINISTERIO DA EDUCACAO,2014,José Henrique Paim,PT,PT,sim,sim,nao,0.0541207431709827,818650.44
PE,RECIFE,SEC.ESPEC.DE AGRIC.FAMIL.E DO DESENV.AGRARIO,2012,Pepe Vargas,PT,PSB,sim,nao,nao,0.0913920547556228,816225
MT,CUIABA,MINISTERIO DA JUSTICA,2011,José Eduardo Cardozo,PT,PMDB,sim,nao,nao,0.26522367713506,815791.43
RJ,CAMPOS DOS GOYTACAZES,MINISTERIO DA EDUCACAO,2014,José Henrique Paim,PT,PMDB,sim,nao,nao,0.0494927493927681,814708.71
CE,FORTALEZA,MINISTERIO DO DESENVOLVIMENTO SOCIAL,2014,Tereza Campello,PT,PSB,sim,nao,nao,0.0920246039966341,813754.34
MA,SAO LUIS,MINISTERIO DO TRABALHO E EMPREGO,2008,Carlos Lupi,PDT,PDT,sim,sim,nao,0.129045272735606,813700
PE,RECIFE,MINISTERIO DA JUSTICA,2014,José Eduardo Cardozo,PT,PSB,sim,nao,nao,0.0876942703746295,813603.5
TO,PALMAS,MINISTERIO DA CULTURA,2008,Juca Ferreira,PV,PMDB,sim,nao,nao,0.634635523842472,812656.5
SE,ARACAJU,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA, INOVAÇÕES E COMUNICAÇÕES",2015,Aldo Rebelo,PCdoB,PMDB,sim,nao,nao,0.362270540813228,812550
AC,RIO BRANCO,MINISTERIO DA CULTURA,2008,Juca Ferreira,PV,PT,sim,nao,nao,1.19472468396775,812500
PI,TERESINA,MINISTERIO DA JUSTICA,2015,José Eduardo Cardozo,PT,PT,sim,sim,nao,0.253431599224476,812001.94
BA,FEIRA DE SANTANA,MINISTERIO DA EDUCACAO,2013,Aloizio Mercadante,PT,PT,sim,sim,nao,0.0539687261555781,811912.91
RO,PORTO VELHO,MINISTERIO DA JUSTICA,2012,José Eduardo Cardozo,PT,PMDB,sim,nao,nao,0.510012194884186,810925
SC,FLORIANOPOLIS,MINISTERIO DA EDUCACAO,2015,Renato Janine Ribeiro,PT,PSD,sim,nao,nao,0.118869856977148,810596.14
RO,PORTO VELHO,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA, INOVAÇÕES E COMUNICAÇÕES",2013,Marco Antonio Raupp,sem_partido,PMDB,sim,nao,nao,0.468788888413125,810167.52
SP,SAO PAULO,MINISTERIO DA SAUDE,2011,Alexandre Padilha,PT,PSDB,nao,nao,sim,0.0194725780421389,809804
MS,CAMPO GRANDE,MINISTERIO DA JUSTICA,2012,José Eduardo Cardozo,PT,PMDB,sim,nao,nao,0.322982709589444,809100.11
ES,VITORIA,MINISTERIO DA JUSTICA,2010,Luiz Paulo Barreto,sem_partido,PMDB,sim,nao,nao,0.229945915815653,807724.58
AM,MANAUS,SEC.ESPEC.DE AGRIC.FAMIL.E DO DESENV.AGRARIO,2009,Guilherme Cassel ,PT,PMDB,sim,nao,nao,0.237788758016001,806905
CE,FORTALEZA,MINISTERIO DA EDUCACAO,2013,Aloizio Mercadante,PT,PSB,sim,nao,nao,0.0916673057224771,804708.41
PI,TERESINA,MINISTERIO DA JUSTICA,2014,José Eduardo Cardozo,PT,PSB,sim,nao,nao,0.251623680086943,803866.7
