UF,Municipio,órgão_Concedente,Ano_de_Vigencia,Nome_Ministro,Partido_Ministro,Partido_Governador,Governo_Base_Aliada,Partido_Ministro_Partido_Governador,UFMinistro_Ufdestino,Transferencia_percapita,Vl_Liberado
BA,SALVADOR,MINISTERIO DOS DIREITOS HUMANOS,2013,Maria do Rosário,PT,PT,sim,sim,nao,0.0176148356000746,265000
PI,TERESINA,SEC.ESPEC.DE AGRIC.FAMIL.E DO DESENV.AGRARIO,2015,Patrus Ananias,PT,PT,sim,sim,nao,0.0827083908130641,265000
AC,RIO BRANCO,MINISTERIO DOS DIREITOS HUMANOS,2013,Maria do Rosário,PT,PT,sim,sim,nao,0.341265456306353,264980
RJ,RIO DE JANEIRO,MINISTERIO DA JUSTICA,2015,José Eduardo Cardozo,PT,PMDB,sim,nao,nao,0.0160038438614953,264864
SC,FLORIANOPOLIS,MINISTERIO DA EDUCACAO,2009,Fernando Haddad,PT,PMDB,sim,nao,nao,0.043199232260613,264325
PI,TERESINA,MINISTERIO DO ESPORTE,2012,Aldo Rebelo,PCdoB,PSB,sim,nao,nao,0.083609199467974,264267.61
AC,RIO BRANCO,PRESIDENCIA DA REPÚBLICA,2011,Gilberto Carvalho,PT,PT,sim,sim,nao,0.35399843242338,264215.58
AM,MANAUS,MINISTERIO DO DESENVOLVIMENTO AGRARIO,2010,Guilherme Cassel ,PT,PMDB,sim,nao,nao,0.0758416483837542,264000
PE,RECIFE,MINISTERIO DA SAUDE,2014,Arthur Chioro,PT,PSB,sim,nao,nao,0.0284526414713431,263975.84
PA,BELEM,MINISTERIO DOS DIREITOS HUMANOS,2009,Paulo Vannuchi,PT,PT,sim,sim,nao,0.0354810510535566,263660.4
MA,SAO LUIS,SEC.ESPEC.DE AGRIC.FAMIL.E DO DESENV.AGRARIO,2015,Patrus Ananias,PT,PCdoB,sim,nao,nao,0.0381750868777611,263570
MA,SAO LUIS,SEC.ESPEC.DE AGRIC.FAMIL.E DO DESENV.AGRARIO,2015,Patrus Ananias,PT,PCdoB,sim,nao,nao,0.0381750868777611,263570
MA,SAO LUIS,SEC.ESPEC.DE AGRIC.FAMIL.E DO DESENV.AGRARIO,2015,Patrus Ananias,PT,PCdoB,sim,nao,nao,0.0381750868777611,263570
BA,SALVADOR,MINISTERIO DO TURISMO,2012,Gastão Vieira,PMDB,PT,sim,nao,nao,0.0185861207853836,263464.6
PI,TERESINA,MINISTERIO DA JUSTICA,2009,Tarso Genro,PT,PT,sim,sim,nao,0.0837026380421737,263272
AC,RIO BRANCO,MINISTERIO DA DEFESA,2012,Celso Amorim,PT,PT,sim,sim,nao,0.346869868447757,263200
MS,CAMPO GRANDE,MINISTERIO DA SAUDE,2014,Arthur Chioro,PT,PMDB,sim,nao,nao,0.100455135920466,263158
AP,MACAPA,MINISTERIO DA SAUDE,2014,Arthur Chioro,PT,PSB,sim,nao,nao,0.350451184692747,263158
RO,PORTO VELHO,MINISTERIO DA SAUDE,2014,Arthur Chioro,PT,PMDB,sim,nao,nao,0.150502335960872,263158
PI,TERESINA,MINISTERIO DA JUSTICA,2014,José Eduardo Cardozo,PT,PSB,sim,nao,nao,0.0823728072399504,263157.89
AM,MANAUS,MINISTERIO DA EDUCACAO,2009,Fernando Haddad,PT,PMDB,sim,nao,nao,0.0774837956025413,262931.11
RN,NATAL,MINISTERIO DA JUSTICA,2009,Tarso Genro,PT,PSB,sim,nao,nao,0.0837790231267097,262860.12
PA,BELEM,SEC.ESPEC.DE AGRIC.FAMIL.E DO DESENV.AGRARIO,2009,Guilherme Cassel ,PT,PT,sim,sim,nao,0.0352845235243614,262200
MT,CUIABA,MINISTERIO DOS DIREITOS HUMANOS,2012,Maria do Rosário,PT,PMDB,sim,nao,nao,0.0841126896103663,262039.29
SE,ARACAJU,MINISTERIO DA SAUDE,2012,Alexandre Padilha,PT,PT,sim,sim,nao,0.124119615304991,262000
AC,RIO BRANCO,MINISTERIO DAS CIDADES,2010,Marcio Fortes de Almeida,PP,PT,sim,nao,nao,0.356969771818235,261584.95
CE,FORTALEZA,MINISTERIO DA JUSTICA,2013,José Eduardo Cardozo,PT,PSB,sim,nao,nao,0.0297441304831216,261111.11
MT,CUIABA,MINISTERIO DO DESENVOLVIMENTO SOCIAL,2014,Tereza Campello,PT,PMDB,sim,nao,nao,0.0809151499043065,260899.33
PR,CURITIBA,MINISTERIO DA EDUCACAO,2009,Fernando Haddad,PT,PMDB,sim,nao,nao,0.0244128485894065,260881.73
PA,BELEM,PRESIDENCIA DA REPÚBLICA,2009,Franklin Martins,sem_partido,PT,sim,nao,nao,0.0350211680226941,260243
MS,DOURADOS,MINISTERIO DA EDUCACAO,2014,José Henrique Paim,PT,PMDB,sim,nao,nao,0.0993222356972688,260190.19
PB,CAMPINA GRANDE,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA, INOVAÇÕES E COMUNICAÇÕES",2014,Clelio Campolina Diniz,sem_partido,PSB,sim,nao,nao,0.06592890005667,260016
PR,CASCAVEL,MINISTERIO DA SAUDE,2009,José Gomes Temporão,PMDB,PMDB,sim,sim,nao,0.0243303378632367,260000
ES,VITORIA,"MINISTÉRIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",2015,Kátia Abreu,PMDB,PMDB,sim,sim,nao,0.0661592590773684,260000
RS,PORTO ALEGRE,MINISTERIO DA EDUCACAO,2012,Aloizio Mercadante,PT,PT,sim,sim,nao,0.0241004454439552,259576.33
RO,PORTO VELHO,"MINISTÉRIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",2012,Mendes Ribeiro Filho,PMDB,PMDB,sim,sim,nao,0.163130443751647,259379.2
MS,CAMPO GRANDE,MINISTERIO DA JUSTICA,2009,Tarso Genro,PT,PMDB,sim,nao,nao,0.109753916334604,259073.9
PE,RECIFE,MINISTERIO DA SAUDE,2015,Marcelo Castro,PMDB,PSB,sim,nao,nao,0.0277177222936376,259026.91
RN,NATAL,MINISTERIO DA JUSTICA,2010,Luiz Paulo Barreto,sem_partido,PSB,sim,nao,nao,0.0816785595806742,258768.54
CE,FORTALEZA,MINISTERIO DA SAUDE,2009,José Gomes Temporão,PMDB,PSB,sim,nao,nao,0.0302484285739188,258557.79
MT,CUIABA,MINISTERIO DA CULTURA,2012,Ana de Hollanda,sem_partido,PMDB,sim,nao,nao,0.0826999720094397,257638.2
RN,NATAL,PRESIDENCIA DA REPÚBLICA,2010,Franklin Martins,sem_partido,PSB,sim,nao,nao,0.0812781534108574,257500
PI,TERESINA,SEC.ESPEC.DE AGRIC.FAMIL.E DO DESENV.AGRARIO,2008,Guilherme Cassel ,PT,PT,sim,sim,nao,0.0825110034724526,257409.33
SP,SAO PAULO,MINISTERIO DA JUSTICA,2011,José Eduardo Cardozo,PT,PSDB,nao,nao,sim,0.00618725150222815,257308.56
MS,CAMPO GRANDE,"MINISTÉRIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",2009,Reinhold Stephanes,PMDB,PMDB,sim,sim,nao,0.108971920332066,257228
CE,FORTALEZA,MINISTERIO DA JUSTICA,2012,José Eduardo Cardozo,PT,PSB,sim,nao,nao,0.0298636579922972,257006.79
AM,MANAUS,MINISTERIO DA SAUDE,2010,José Gomes Temporão,PMDB,PMDB,sim,sim,nao,0.0736870561001248,256500
BA,SALVADOR,MINISTERIO DAS CIDADES,2014,Gilberto Occhi,PP,PT,sim,nao,nao,0.0169507497865813,256403.33
AM,MANAUS,SEC.ESPEC.DE AGRIC.FAMIL.E DO DESENV.AGRARIO,2009,Guilherme Cassel ,PT,PMDB,sim,nao,nao,0.0755443926080541,256350
AC,RIO BRANCO,MINISTERIO DA JUSTICA,2009,Tarso Genro,PT,PT,sim,sim,nao,0.37087701046978,256324.97
MT,CUIABA,MINISTERIO DA JUSTICA,2012,José Eduardo Cardozo,PT,PMDB,sim,nao,nao,0.0822668405590922,256288.85
BA,ILHEUS,MINISTERIO DA EDUCACAO,2011,Fernando Haddad,PT,PT,sim,sim,nao,0.0181689430192221,256133.64
MA,SAO LUIS,MINISTERIO DA EDUCACAO,2015,Aloizio Mercadante,PT,PCdoB,sim,nao,nao,0.0370931431854711,256100
BA,VITORIA DA CONQUISTA,MINISTERIO DA EDUCACAO,2012,Aloizio Mercadante,PT,PT,sim,sim,nao,0.0180659004957976,256090.3
DF,BRASILIA,MINISTERIO DA JUSTICA,2013,José Eduardo Cardozo,PT,PT,sim,sim,nao,0.0916048220618182,255555.56
MA,SAO LUIS,MINISTERIO DA EDUCACAO,2012,Aloizio Mercadante,PT,PMDB,sim,nao,nao,0.0379861978453793,255051.26
BA,FEIRA DE SANTANA,MINISTERIO DA CULTURA,2012,Marta Suplicy,PT,PT,sim,sim,nao,0.0179607672224605,254600
PB,CAMPINA GRANDE,MINISTERIO DA EDUCACAO,2015,Aloizio Mercadante,PT,PSB,sim,nao,nao,0.0639746518429828,254120.24
BA,SALVADOR,MINISTERIO DO TURISMO,2009,Luiz Barretto Filho,PT,PT,sim,sim,nao,0.0173572236093876,254064
SC,FLORIANOPOLIS,MINISTERIO DA JUSTICA,2010,Luiz Paulo Barreto,sem_partido,PMDB,sim,nao,nao,0.0406420678684131,254000
MS,DOURADOS,MINISTERIO DA EDUCACAO,2012,Aloizio Mercadante,PT,PMDB,sim,nao,nao,0.101385659904961,253980
PI,TERESINA,PRESIDENCIA DA REPÚBLICA,2010,Franklin Martins,sem_partido,PT,sim,nao,nao,0.0813718433543923,253800
MS,CAMPO GRANDE,MINISTERIO DOS DIREITOS HUMANOS,2013,Maria do Rosário,PT,PMDB,sim,nao,nao,0.097944890925528,253409.78
PI,TERESINA,MINISTERIO DA INTEGRACAO NACIONAL,2009,Geddel Vieira Lima,PMDB,PT,sim,nao,nao,0.0805379920993856,253318.16
RS,PORTO ALEGRE,MINISTERIO DA EDUCACAO,2012,Aloizio Mercadante,PT,PT,sim,sim,nao,0.0234457866472286,252525.26
TO,PALMAS,MINISTERIO DO TURISMO,2009,Luiz Barretto Filho,PT,PMDB,sim,nao,nao,0.195038740730823,252000
SP,SAO PAULO,MINISTERIO DA EDUCACAO,2012,Aloizio Mercadante,PT,PSDB,nao,nao,sim,0.00601163560420521,251894.86
AL,MACEIO,"MINISTÉRIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",2015,Kátia Abreu,PMDB,PMDB,sim,sim,nao,0.0753930340396033,251883
PA,BELEM,MINISTERIO DA SAUDE,2009,José Gomes Temporão,PMDB,PT,sim,nao,nao,0.0338854962037513,251803.8
AC,RIO BRANCO,MINISTERIO DA JUSTICA,2012,José Eduardo Cardozo,PT,PT,sim,sim,nao,0.331066598487584,251208.7
PR,PONTA GROSSA,MINISTERIO DA EDUCACAO,2008,Fernando Haddad,PT,PMDB,sim,nao,nao,0.0236948654927037,250932.63
BA,SALVADOR,MINISTERIO DAS CIDADES,2014,Gilberto Occhi,PP,PT,sim,nao,nao,0.0165371945458696,250147.74
ES,VITORIA,"MINISTÉRIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",2015,Kátia Abreu,PMDB,PMDB,sim,sim,nao,0.0636439349389846,250115
AP,MACAPA,SEC.ESPEC.DE AGRIC.FAMIL.E DO DESENV.AGRARIO,2011,Afonso Florense,PT,PSB,sim,nao,nao,0.365336306683755,250000
PB,JOAO PESSOA,MINISTERIO DA SAUDE,2012,Alexandre Padilha,PT,PSB,sim,nao,nao,0.065527862316001,250000
AP,MACAPA,MINISTERIO DA SAUDE,2012,Alexandre Padilha,PT,PSB,sim,nao,nao,0.357857549792299,250000
AP,MACAPA,MINISTERIO DA SAUDE,2012,Alexandre Padilha,PT,PSB,sim,nao,nao,0.357857549792299,250000
AP,MACAPA,MINISTERIO DA SAUDE,2012,Alexandre Padilha,PT,PSB,sim,nao,nao,0.357857549792299,250000
PE,RECIFE,MINISTERIO DA SAUDE,2012,Alexandre Padilha,PT,PSB,sim,nao,nao,0.0279922983110119,250000
AC,RIO BRANCO,MINISTERIO DA SAUDE,2012,Alexandre Padilha,PT,PT,sim,sim,nao,0.329473659239891,250000
BA,SALVADOR,MINISTERIO DA CULTURA,2011,Ana de Hollanda,sem_partido,PT,sim,nao,nao,0.0177338507929124,250000
SE,ARACAJU,MINISTERIO DA SAUDE,2014,Arthur Chioro,PT,PT,sim,sim,nao,0.112634226207371,250000
BA,SALVADOR,MINISTERIO DA SAUDE,2014,Arthur Chioro,PT,PT,sim,sim,nao,0.0165274274973158,250000
MA,SAO LUIS,MINISTERIO DA SAUDE,2014,Arthur Chioro,PT,PMDB,sim,nao,nao,0.0364916410787279,250000
AP,MACAPA,MINISTERIO DA DEFESA,2011,Celso Amorim,PT,PSB,sim,nao,nao,0.365336306683755,250000
RO,PORTO VELHO,MINISTERIO DA DEFESA,2012,Celso Amorim,PT,PMDB,sim,nao,nao,0.157231616636614,250000
AP,MACAPA,PRESIDENCIA DA REPÚBLICA,2009,Franklin Martins,sem_partido,PDT,sim,nao,nao,0.398972884206898,250000
MT,CUIABA,MINISTERIO DO TURISMO,2011,Gastão Vieira,PMDB,PMDB,sim,sim,nao,0.0812780287282069,250000
RS,PORTO ALEGRE,PRESIDENCIA DA REPÚBLICA,2012,Gilberto Carvalho,PT,PT,sim,sim,nao,0.023211328093701,250000
RS,PORTO ALEGRE,PRESIDENCIA DA REPÚBLICA,2011,Gilberto Carvalho,PT,PT,sim,sim,nao,0.0232931479944134,250000
PR,CURITIBA,MINISTERIO DO DESENVOLVIMENTO AGRARIO,2009,Guilherme Cassel ,PT,PMDB,sim,nao,nao,0.0233945556377276,250000
AM,MANAUS,MINISTERIO DO DESENVOLVIMENTO AGRARIO,2009,Guilherme Cassel ,PT,PMDB,sim,nao,nao,0.0736730959704058,250000
PR,CASCAVEL,MINISTERIO DA SAUDE,2009,José Gomes Temporão,PMDB,PMDB,sim,sim,nao,0.0233945556377276,250000
DF,BRASILIA,MINISTERIO DA CULTURA,2016,Juca Ferreira,PV,PSB,sim,nao,nao,0.0857682952350566,250000
AC,RIO BRANCO,MINISTERIO DA CULTURA,2015,Juca Ferreira,PV,PT,sim,nao,nao,0.311133733990614,250000
CE,FORTALEZA,MINISTERIO DO TURISMO,2009,Luiz Barretto Filho,PT,PSB,sim,nao,nao,0.0292472609062743,250000
BA,SALVADOR,MINISTERIO DO TURISMO,2009,Luiz Barretto Filho,PT,PT,sim,sim,nao,0.0170795779895888,250000
MS,CAMPO GRANDE,MINISTERIO DA CULTURA,2013,Marta Suplicy,PT,PMDB,sim,nao,nao,0.0966269838969199,250000
MS,CAMPO GRANDE,MINISTERIO DA CULTURA,2014,Marta Suplicy,PT,PMDB,sim,nao,nao,0.0954323409515063,250000
MT,CUIABA,MINISTERIO DA CULTURA,2012,Marta Suplicy,PT,PMDB,sim,nao,nao,0.0802481658479214,250000
MT,CUIABA,"MINISTÉRIO DA AGRICULTURA, PECUARIA E ABASTECIMENTO",2011,Mendes Ribeiro Filho,PMDB,PMDB,sim,sim,nao,0.0812780287282069,250000
DF,BRASILIA,PRESIDENCIA DA REPÚBLICA,2015,Miguel Rossetto,PT,PSB,sim,nao,nao,0.0966269838969199,250000
AP,MACAPA,MINISTERIO DO DESENVOLVIMENTO SOCIAL,2009,Patrus Ananias,PT,PDT,sim,nao,nao,0.398972884206898,250000
PI,TERESINA,SEC.ESPEC.DE AGRIC.FAMIL.E DO DESENV.AGRARIO,2015,Patrus Ananias,PT,PT,sim,sim,nao,0.0780267837859095,250000
PR,CURITIBA,MINISTERIO DOS DIREITOS HUMANOS,2009,Paulo Vannuchi,PT,PMDB,sim,nao,nao,0.0233945556377276,250000
DF,BRASILIA,MINISTERIO DO DESENVOLVIMENTO SOCIAL,2015,Tereza Campello,PT,PSB,sim,nao,nao,0.0966269838969199,250000
PE,OLINDA,MINISTERIO DO TURISMO,2014,Vinicius Lages,sem_partido,PSB,sim,nao,nao,0.0269462552627384,250000
SP,SAO PAULO,MINISTERIO DA SAUDE,2014,Arthur Chioro,PT,PSDB,nao,nao,sim,0.00567726295247104,250000
PB,JOAO PESSOA,PRESIDENCIA DA REPÚBLICA,2011,Gilberto Carvalho,PT,PSB,sim,nao,nao,0.0659341817894071,249969.67
PE,OLINDA,MINISTERIO DO TURISMO,2015,Henrique Eduardo Alves,PMDB,PSB,sim,nao,nao,0.026747772352636,249962.56
MT,CUIABA,SEC.ESPEC.DE AGRIC.FAMIL.E DO DESENV.AGRARIO,2013,Pepe Vargas,PT,PMDB,sim,nao,nao,0.0785426853163291,249931.7
SC,FLORIANOPOLIS,MINISTERIO DA JUSTICA,2009,Tarso Genro,PT,PMDB,sim,nao,nao,0.0408351846122643,249860
PB,CAMPINA GRANDE,SEC.ESPEC.DE AGRIC.FAMIL.E DO DESENV.AGRARIO,2015,Patrus Ananias,PT,PSB,sim,nao,nao,0.0628794809528821,249770
MA,SAO LUIS,SEC.ESPEC.DE AGRIC.FAMIL.E DO DESENV.AGRARIO,2015,Patrus Ananias,PT,PCdoB,sim,nao,nao,0.0361733505536669,249749.53
PE,OLINDA,MINISTERIO DO TURISMO,2015,Henrique Eduardo Alves,PMDB,PSB,sim,nao,nao,0.0267208022794228,249710.52
PE,OLINDA,MINISTERIO DO TURISMO,2015,Henrique Eduardo Alves,PMDB,PSB,sim,nao,nao,0.0266827591099705,249355
AC,RIO BRANCO,PRESIDENCIA DA REPÚBLICA,2011,Gilberto Carvalho,PT,PT,sim,sim,nao,0.334006457879752,249294.07
RS,PORTO ALEGRE,MINISTERIO DA EDUCACAO,2012,Aloizio Mercadante,PT,PT,sim,sim,nao,0.0231356591641155,249185
TO,PALMAS,"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA, INOVAÇÕES E COMUNICAÇÕES",2010,Sérgio Machado Rezende,PSB,PMDB,sim,nao,nao,0.180083486753797,249137.04
RS,PORTO ALEGRE,PRESIDENCIA DA REPÚBLICA,2011,Gilberto Carvalho,PT,PT,sim,sim,nao,0.0232013729913154,249015
